
       Target
                ecliptic
RA      Dec     latitude
102.195  -0.673 -23.550

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-02-12      2020-04-08        56.00      69.97787      97.75674     102.19462      -0.67279 
 2020-09-30      2020-11-26        57.00     273.03556     301.65918     102.19462      -0.67279 
 2021-02-11      2021-04-08        56.06      69.80722      97.66542     102.19462      -0.67279 
 2021-09-30      2021-11-26        57.00     272.90651     301.46738     102.19462      -0.67279 
 2022-02-11      2022-04-09        57.00      69.62847      97.92001     102.19462      -0.67279 
 2022-10-01      2022-11-26        56.00     273.17055     301.28630     102.19462      -0.67279 
 2023-02-11      2023-04-09        56.98      69.46416      97.79916     102.19462      -0.67279 
 2023-10-01      2023-11-26        56.04     273.04357     301.14697     102.19462      -0.67279 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max

2020-02-13    62.92  77.19    62.90  77.16   200.41 214.68    62.35  76.62    67.94  82.21    61.67  75.94
2020-02-14    63.81  77.88    63.78  77.85   201.30 215.36    63.24  77.31    68.83  82.89    62.56  76.63
2020-02-15    64.67  78.54    64.65  78.52   202.16 216.03    64.10  77.97    69.69  83.56    63.42  77.29
2020-02-16    65.51  79.19    65.48  79.17   203.00 216.68    64.94  78.62    70.52  84.21    64.26  77.94
2020-02-17    66.32  79.83    66.29  79.80   203.81 217.31    65.75  79.26    71.34  84.84    65.07  78.57
2020-02-18    67.11  80.44    67.08  80.42   204.60 217.93    66.54  79.87    72.13  85.46    65.86  79.19
2020-02-19    67.88  81.05    67.85  81.02   205.37 218.53    67.31  80.48    72.89  86.06    66.63  79.79
2020-02-20    68.63  81.63    68.60  81.61   206.11 219.12    68.06  81.06    73.64  86.65    67.38  80.38
2020-02-21    69.36  82.21    69.33  82.18   206.84 219.70    68.79  81.64    74.37  87.22    68.11  80.96
2020-02-22    70.07  82.77    70.04  82.75   207.55 220.26    69.50  82.20    75.08  87.79    68.82  81.52
2020-02-23    70.76  83.32    70.73  83.30   208.25 220.81    70.19  82.75    75.77  88.34    69.51  82.07
2020-02-24    71.43  83.86    71.41  83.84   208.92 221.35    70.86  83.29    76.45  88.88    70.18  82.61
2020-02-25    72.09  84.39    72.07  84.37   209.58 221.88    71.52  83.82    77.11  89.41    70.84  83.14
2020-02-26    72.74  84.91    72.71  84.89   210.23 222.40    72.17  84.34    77.75  89.93    71.49  83.66
2020-02-27    73.37  85.42    73.34  85.40   210.86 222.91    72.80  84.85    78.38  90.44    72.12  84.17
2020-02-28    73.98  85.92    73.96  85.90   211.47 223.41    73.41  85.35    79.00  90.94    72.73  84.67
2020-02-29    74.59  86.41    74.56  86.39   212.07 223.90    74.02  85.84    79.60  91.43    73.34  85.16
2020-03-01    75.18  86.90    75.15  86.87   212.66 224.39    74.61  86.33    80.19  91.91    73.93  85.65
2020-03-02    75.76  87.38    75.73  87.35   213.24 224.86    75.19  86.81    80.77  92.39    74.50  86.13
2020-03-03    76.32  87.85    76.30  87.82   213.81 225.33    75.75  87.28    81.34  92.86    75.07  86.60
2020-03-04    76.88  88.31    76.85  88.28   214.36 225.80    76.31  87.74    81.89  93.32    75.63  87.06
2020-03-05    77.42  88.77    77.40  88.74   214.91 226.25    76.85  88.20    82.44  93.78    76.17  87.51
2020-03-06    77.96  89.22    77.93  89.19   215.44 226.70    77.39  88.65    82.97  94.23    76.71  87.97
2020-03-07    78.48  89.66    78.46  89.63   215.97 227.15    77.91  89.09    83.50  94.68    77.23  88.41
2020-03-08    79.00  90.10    78.97  90.07   216.49 227.59    78.43  89.53    84.01  95.12    77.75  88.85
2020-03-09    79.51  90.54    79.48  90.51   216.99 228.02    78.94  89.97    84.52  95.55    78.26  89.28
2020-03-10    80.01  90.97    79.98  90.94   217.49 228.45    79.44  90.40    85.02  95.98    78.76  89.71
2020-03-11    80.50  91.39    80.47  91.36   217.99 228.88    79.93  90.82    85.51  96.41    79.25  90.14
2020-03-12    80.98  91.81    80.96  91.79   218.47 229.30    80.41  91.24    86.00  96.83    79.73  90.56
2020-03-13    81.46  92.23    81.43  92.20   218.95 229.72    80.89  91.66    86.47  97.25    80.21  90.98
2020-03-14    81.93  92.64    81.90  92.62   219.42 230.13    81.36  92.07    86.94  97.66    80.68  91.39
2020-03-15    82.39  93.06    82.37  93.03   219.88 230.54    81.82  92.49    87.41  98.07    81.14  91.81
2020-03-16    82.85  93.46    82.82  93.44   220.34 230.95    82.28  92.89    87.87  98.48    81.60  92.21
2020-03-17    83.30  93.87    83.28  93.84   220.79 231.36    82.73  93.30    88.32  98.88    82.05  92.62
2020-03-18    83.75  94.27    83.72  94.25   221.24 231.76    83.18  93.70    88.76  99.29    82.50  93.02
2020-03-19    84.19  94.67    84.16  94.65   221.68 232.16    83.62  94.10    89.20  99.69    82.94  93.42
2020-03-20    84.63  95.07    84.60  95.04   222.11 232.56    84.06  94.50    89.64 100.09    83.37  93.82
2020-03-21    85.06  95.47    85.03  95.44   222.54 232.95    84.49  94.90    90.07 100.48    83.81  94.22
2020-03-22    85.48  95.86    85.46  95.84   222.97 233.35    84.91  95.29    90.50 100.88    84.23  94.61
2020-03-23    85.91  96.26    85.88  96.23   223.39 233.74    85.34  95.69    90.92 101.27    84.66  95.00
2020-03-24    86.33  96.65    86.30  96.62   223.81 234.13    85.76  96.08    91.34 101.66    85.07  95.40
2020-03-25    86.74  97.04    86.71  97.01   224.23 234.53    86.17  96.47    91.76 102.05    85.49  95.79
2020-03-26    87.15  97.43    87.13  97.40   224.64 234.92    86.58  96.86    92.17 102.44    85.90  96.18
2020-03-27    87.56  97.82    87.53  97.79   225.05 235.31    86.99  97.25    92.58 102.83    86.31  96.57
2020-03-28    87.97  98.21    87.94  98.18   225.45 235.70    87.40  97.64    92.98 103.22    86.71  96.96
2020-03-29    88.37  98.60    88.34  98.57   225.86 236.08    87.80  98.03    93.38 103.61    87.12  97.35
2020-03-30    88.77  98.99    88.74  98.96   226.26 236.47    88.20  98.42    93.78 104.00    87.52  97.74
2020-03-31    89.17  99.38    89.14  99.35   226.65 236.86    88.60  98.81    94.18 104.39    87.92  98.13
2020-04-01    89.56  99.77    89.54  99.74   227.05 237.25    88.99  99.20    94.58 104.78    88.31  98.52
2020-04-02    89.96 100.16    89.93 100.13   227.44 237.64    89.39  99.59    94.97 105.17    88.70  98.91
2020-04-03    90.35 100.55    90.32 100.52   227.83 238.03    89.78  99.98    95.36 105.56    89.10  99.30
2020-04-04    90.74 100.94    90.71 100.91   228.22 238.43    90.17 100.37    95.75 105.95    89.49  99.69
2020-04-05    91.13 101.33    91.10 101.31   228.61 238.82    90.56 100.76    96.14 106.35    89.88 100.08
2020-04-06    91.73 101.51    91.71 101.48   229.22 238.99    91.16 100.94    96.75 106.52    90.48 100.26
2020-04-07    92.68 101.34    92.66 101.31   230.17 238.83    92.11 100.77    97.70 106.35    91.43 100.09
2020-04-08    93.63 101.17    93.61 101.15   231.12 238.66    93.06 100.60    98.65 106.19    92.38  99.92

2020-10-01   269.36 276.79   269.34 276.76    46.85  54.27   268.79 276.22   274.38 281.80   268.11 275.53
2020-10-02   269.20 277.74   269.17 277.71    46.68  55.22   268.63 277.17   274.21 282.75   267.94 276.48
2020-10-03   269.03 278.69   269.00 278.66    46.51  56.17   268.46 278.12   274.04 283.70   267.77 277.44
2020-10-04   269.14 279.35   269.12 279.32    46.63  56.84   268.57 278.78   274.16 284.36   267.89 278.10
2020-10-05   269.53 279.74   269.51 279.71    47.02  57.22   268.96 279.17   274.55 284.75   268.28 278.49
2020-10-06   269.92 280.13   269.90 280.10    47.41  57.61   269.35 279.56   274.94 285.14   268.67 278.87
2020-10-07   270.31 280.52   270.29 280.49    47.80  58.00   269.74 279.95   275.33 285.53   269.06 279.26
2020-10-08   270.70 280.91   270.68 280.88    48.19  58.39   270.13 280.34   275.72 285.92   269.45 279.66
2020-10-09   271.09 281.30   271.06 281.27    48.58  58.79   270.52 280.73   276.11 286.32   269.84 280.05
2020-10-10   271.48 281.70   271.45 281.67    48.97  59.18   270.91 281.13   276.49 286.71   270.23 280.45
2020-10-11   271.87 282.09   271.84 282.07    49.35  59.58   271.30 281.52   276.88 287.11   270.62 280.84
2020-10-12   272.25 282.49   272.23 282.47    49.74  59.98   271.68 281.92   277.27 287.51   271.00 281.24
2020-10-13   272.64 282.90   272.61 282.87    50.13  60.39   272.07 282.33   277.66 287.91   271.39 281.65
2020-10-14   273.03 283.30   273.00 283.28    50.52  60.79   272.46 282.73   278.04 288.32   271.78 282.05
2020-10-15   273.42 283.71   273.39 283.69    50.90  61.20   272.85 283.14   278.43 288.73   272.17 282.46
2020-10-16   273.81 284.13   273.78 284.10    51.29  61.61   273.24 283.56   278.82 289.14   272.55 282.87
2020-10-17   274.19 284.54   274.17 284.51    51.68  62.03   273.62 283.97   279.21 289.56   272.94 283.29
2020-10-18   274.59 284.96   274.56 284.93    52.07  62.45   274.02 284.39   279.60 289.98   273.33 283.71
2020-10-19   274.98 285.38   274.95 285.36    52.47  62.87   274.41 284.81   279.99 290.40   273.73 284.13
2020-10-20   275.37 285.81   275.34 285.79    52.86  63.30   274.80 285.24   280.39 290.83   274.12 284.56
2020-10-21   275.77 286.25   275.74 286.22    53.25  63.73   275.20 285.68   280.78 291.26   274.52 284.99
2020-10-22   276.16 286.68   276.14 286.66    53.65  64.17   275.59 286.11   281.18 291.70   274.91 285.43
2020-10-23   276.56 287.13   276.54 287.10    54.05  64.61   275.99 286.56   281.58 292.14   275.31 285.87
2020-10-24   276.97 287.57   276.94 287.55    54.45  65.06   276.40 287.00   281.98 292.59   275.71 286.32
2020-10-25   277.37 288.03   277.34 288.00    54.86  65.51   276.80 287.46   282.38 293.04   276.12 286.78
2020-10-26   277.78 288.49   277.75 288.46    55.26  65.97   277.21 287.92   282.79 293.50   276.53 287.24
2020-10-27   278.19 288.95   278.16 288.93    55.68  66.44   277.62 288.38   283.20 293.97   276.94 287.70
2020-10-28   278.60 289.42   278.58 289.40    56.09  66.91   278.03 288.85   283.62 294.44   277.35 288.17
2020-10-29   279.02 289.90   278.99 289.88    56.51  67.39   278.45 289.33   284.03 294.92   277.77 288.65
2020-10-30   279.44 290.39   279.41 290.36    56.93  67.88   278.87 289.82   284.46 295.41   278.19 289.14
2020-10-31   279.87 290.88   279.84 290.86    57.35  68.37   279.30 290.31   284.88 295.90   278.62 289.63
2020-11-01   280.30 291.39   280.27 291.36    57.78  68.87   279.73 290.82   285.31 296.40   279.05 290.14
2020-11-02   280.73 291.90   280.70 291.87    58.22  69.38   280.16 291.33   285.75 296.91   279.48 290.65
2020-11-03   281.17 292.42   281.15 292.39    58.66  69.90   280.60 291.85   286.19 297.43   279.92 291.17
2020-11-04   281.62 292.95   281.59 292.92    59.10  70.43   281.05 292.38   286.63 297.96   280.37 291.70
2020-11-05   282.07 293.48   282.04 293.46    59.56  70.97   281.50 292.91   287.08 298.50   280.82 292.23
2020-11-06   282.53 294.03   282.50 294.01    60.01  71.52   281.96 293.46   287.54 299.05   281.28 292.78
2020-11-07   282.99 294.59   282.96 294.57    60.48  72.08   282.42 294.02   288.01 299.61   281.74 293.34
2020-11-08   283.46 295.16   283.43 295.14    60.95  72.65   282.89 294.59   288.48 300.18   282.21 293.91
2020-11-09   283.94 295.75   283.91 295.72    61.43  73.23   283.37 295.18   288.95 300.76   282.69 294.50
2020-11-10   284.43 296.34   284.40 296.31    61.91  73.83   283.86 295.77   289.44 301.36   283.18 295.09
