
       Target
                ecliptic
RA      Dec     latitude
280.787   6.204  29.184

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-03-26      2020-05-27        62.00     267.81665     231.04576     280.78665       6.20408 
 2020-08-10      2020-10-11        62.00     118.61777      82.04660     280.78665       6.20408 
 2021-03-27      2021-05-28        62.00     267.46637     230.36651     280.78665       6.20408 
 2021-08-10      2021-10-11        62.00     118.85026      82.19883     280.78665       6.20408 
 2022-03-27      2022-05-28        62.00     267.60353     230.61616     280.78665       6.20408 
 2022-08-10      2022-10-11        61.97     119.05110      82.34527     280.78665       6.20408 
 2023-03-27      2023-05-28        62.00     267.74646     230.86308     280.78665       6.20408 
 2023-08-11      2023-10-12        62.00     118.41117      82.01364     280.78665       6.20408 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max

2020-03-27   264.21 271.33   264.18 271.30    41.70  48.82   263.64 270.76   269.22 276.34   262.96 270.08
2020-03-28   263.19 271.38   263.16 271.35    40.68  48.87   262.62 270.81   268.21 276.40   261.94 270.13
2020-03-29   262.17 271.43   262.15 271.41    39.66  48.92   261.60 270.86   267.19 276.45   260.92 270.18
2020-03-30   261.22 271.43   261.19 271.40    38.71  48.92   260.65 270.86   266.23 276.44   259.97 270.18
2020-03-31   260.74 270.95   260.72 270.92    38.23  48.43   260.17 270.38   265.76 275.96   259.49 269.70
2020-04-01   260.27 270.47   260.24 270.44    37.75  47.95   259.70 269.90   265.28 275.48   259.01 269.22
2020-04-02   259.79 269.99   259.76 269.96    37.28  47.48   259.22 269.42   264.80 275.00   258.54 268.74
2020-04-03   259.31 269.51   259.28 269.48    36.80  47.00   258.74 268.94   264.32 274.53   258.06 268.26
2020-04-04   258.83 269.04   258.80 269.01    36.32  46.52   258.26 268.47   263.85 274.05   257.58 267.78
2020-04-05   258.35 268.56   258.32 268.53    35.84  46.05   257.78 267.99   263.36 273.58   257.10 267.31
2020-04-06   257.87 268.09   257.84 268.06    35.36  45.58   257.30 267.52   262.88 273.10   256.62 266.84
2020-04-07   257.38 267.61   257.36 267.59    34.87  45.10   256.81 267.04   262.40 272.63   256.13 266.36
2020-04-08   256.90 267.14   256.87 267.12    34.39  44.63   256.33 266.57   261.91 272.16   255.65 265.89
2020-04-09   256.41 266.67   256.38 266.64    33.90  44.16   255.84 266.10   261.43 271.69   255.16 265.42
2020-04-10   255.92 266.20   255.89 266.17    33.41  43.68   255.35 265.63   260.94 271.21   254.67 264.95
2020-04-11   255.43 265.72   255.40 265.70    32.92  43.21   254.86 265.15   260.44 270.74   254.18 264.47
2020-04-12   254.93 265.25   254.91 265.23    32.42  42.74   254.36 264.68   259.95 270.27   253.68 264.00
2020-04-13   254.44 264.78   254.41 264.75    31.92  42.27   253.87 264.21   259.45 269.79   253.19 263.53
2020-04-14   253.93 264.30   253.91 264.28    31.42  41.79   253.36 263.73   258.95 269.32   252.68 263.05
2020-04-15   253.43 263.83   253.40 263.80    30.92  41.32   252.86 263.26   258.44 268.84   252.18 262.58
2020-04-16   252.92 263.35   252.89 263.32    30.41  40.84   252.35 262.78   257.94 268.37   251.67 262.10
2020-04-17   252.41 262.87   252.38 262.85    29.90  40.36   251.84 262.30   257.42 267.89   251.16 261.62
