
       Target
                ecliptic
RA      Dec     latitude
159.389  11.843   2.937

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-01-01      2020-01-12        11.90     290.06286     289.04852     159.38908      11.84275 
 2020-04-11      2020-06-02        52.00     114.91305     111.59805     159.38908      11.84275 
 2020-11-23      2021-01-11        49.00     292.11126     289.07745     159.38908      11.84275 
 2021-04-11      2021-06-02        52.00     114.95218     111.59210     159.38908      11.84275 
 2021-11-23      2022-01-12        49.91     292.13656     288.99578     159.38908      11.84275 
 2022-04-11      2022-06-02        52.00     114.98831     111.58445     159.38908      11.84275 
 2022-11-24      2023-01-12        49.00     292.12335     289.01190     159.38908      11.84275 
 2023-04-12      2023-06-03        52.00     114.91653     111.52334     159.38908      11.84275 
 2023-11-24      2023-12-31        36.10     292.15429     290.16536     159.38908      11.84275 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max
2020-01-01   283.98 296.15   283.95 296.12    61.47  73.63   283.41 295.58   288.99 301.16   282.73 294.90
2020-01-02   283.83 296.15   283.81 296.12    61.32  73.63   283.26 295.58   288.85 301.16   282.58 294.90
2020-01-03   283.68 296.15   283.66 296.12    61.17  73.64   283.11 295.58   288.70 301.16   282.43 294.90
2020-01-04   283.53 296.15   283.50 296.13    61.01  73.64   282.96 295.58   288.54 301.17   282.28 294.90
2020-01-05   283.36 296.16   283.34 296.13    60.85  73.65   282.79 295.59   288.38 301.18   282.11 294.91
2020-01-06   283.19 296.17   283.17 296.14    60.68  73.66   282.62 295.60   288.21 301.18   281.94 294.92
2020-01-07   283.02 296.18   282.99 296.15    60.50  73.67   282.45 295.61   288.03 301.20   281.77 294.93
2020-01-08   282.83 296.19   282.81 296.17    60.32  73.68   282.26 295.62   287.85 301.21   281.58 294.94
2020-01-09   282.64 296.21   282.61 296.18    60.13  73.70   282.07 295.64   287.65 301.22   281.39 294.96
2020-01-10   282.44 296.23   282.41 296.20    59.93  73.72   281.87 295.66   287.45 301.24   281.19 294.98
2020-01-11   282.23 296.25   282.20 296.22    59.71  73.74   281.66 295.68   287.24 301.26   280.98 295.00
2020-01-12   282.01 296.27   281.98 296.25    59.49  73.76   281.44 295.70   287.02 301.29   280.76 295.02

2020-04-12   107.79 122.02   107.76 121.99   245.27 259.51   107.22 121.45   112.80 127.03   106.54 120.77
2020-04-13   107.80 121.81   107.78 121.78   245.29 259.29   107.23 121.24   112.82 126.82   106.55 120.56
2020-04-14   107.82 121.60   107.79 121.58   245.31 259.09   107.25 121.03   112.83 126.62   106.57 120.35
2020-04-15   107.83 121.41   107.80 121.38   245.32 258.90   107.26 120.84   112.84 126.42   106.58 120.16
2020-04-16   107.84 121.22   107.81 121.19   245.33 258.71   107.27 120.65   112.85 126.24   106.59 119.97
2020-04-17   107.85 121.04   107.82 121.01   245.33 258.53   107.28 120.47   112.86 126.05   106.60 119.79
2020-04-18   107.85 120.87   107.82 120.84   245.34 258.35   107.28 120.30   112.87 125.88   106.60 119.62
2020-04-19   107.85 120.70   107.83 120.67   245.34 258.19   107.28 120.13   112.87 125.71   106.60 119.45
2020-04-20   107.85 120.54   107.83 120.51   245.34 258.02   107.28 119.97   112.87 125.55   106.60 119.29
2020-04-21   107.85 120.38   107.83 120.36   245.34 257.87   107.28 119.81   112.87 125.40   106.60 119.13
2020-04-22   107.85 120.23   107.82 120.21   245.34 257.72   107.28 119.66   112.87 125.25   106.60 118.98
2020-04-23   107.85 120.09   107.82 120.06   245.33 257.57   107.28 119.52   112.86 125.10   106.59 118.84
2020-04-24   107.84 119.95   107.81 119.92   245.33 257.43   107.27 119.38   112.85 124.96   106.59 118.70
2020-04-25   107.83 119.81   107.80 119.79   245.32 257.30   107.26 119.24   112.85 124.83   106.58 118.56
2020-04-26   107.82 119.68   107.80 119.65   245.31 257.17   107.25 119.11   112.84 124.70   106.57 118.43
2020-04-27   107.81 119.55   107.78 119.53   245.30 257.04   107.24 118.98   112.83 124.57   106.56 118.30
2020-04-28   107.80 119.43   107.77 119.40   245.29 256.92   107.23 118.86   112.81 124.45   106.55 118.18
2020-04-29   107.78 119.31   107.76 119.29   245.27 256.80   107.21 118.74   112.80 124.33   106.53 118.06
2020-04-30   107.77 119.20   107.74 119.17   245.26 256.68   107.20 118.63   112.78 124.21   106.52 117.95
