
       Target
                ecliptic
RA      Dec     latitude
 66.248  39.461  17.578

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-01-14      2020-03-06        52.00      98.21578      78.61423      66.24814      39.46060 
 2020-08-28      2020-10-22        55.00     261.79526     241.24852      66.24814      39.46060 
 2021-01-13      2021-03-06        52.00      98.33637      78.71611      66.24814      39.46060 
 2021-08-28      2021-10-22        55.00     261.85373     241.43090      66.24814      39.46060 
 2022-01-13      2022-03-07        53.00      98.46423      78.51945      66.24814      39.46060 
 2022-08-28      2022-10-22        54.98     261.90834     241.61396      66.24814      39.46060 
 2023-01-13      2023-03-07        53.00      98.59749      78.62422      66.24814      39.46060 
 2023-08-29      2023-10-23        55.00     261.68381     241.19859      66.24814      39.46060 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max

2020-01-15    91.03 105.28    91.00 105.26   228.52 242.77    90.46 104.71    96.04 110.30    89.78 104.03
2020-01-16    90.55 104.58    90.52 104.55   228.03 242.06    89.98 104.01    95.56 109.59    89.29 103.33
2020-01-17    90.08 103.89    90.05 103.87   227.56 241.38    89.51 103.32    95.09 108.91    88.83 102.64
2020-01-18    89.62 103.23    89.59 103.21   227.11 240.72    89.05 102.66    94.63 108.25    88.37 101.98
2020-01-19    89.17 102.59    89.15 102.57   226.66 240.08    88.60 102.02    94.19 107.61    87.92 101.34
2020-01-20    88.74 101.97    88.71 101.95   226.23 239.46    88.17 101.40    93.75 106.99    87.49 100.72
2020-01-21    88.32 101.37    88.29 101.35   225.80 238.86    87.75 100.80    93.33 106.39    87.06 100.12
2020-01-22    87.90 100.79    87.87 100.76   225.39 238.28    87.33 100.22    92.92 105.80    86.65  99.54
2020-01-23    87.50 100.22    87.47 100.20   224.98 237.71    86.93  99.65    92.51 105.24    86.25  98.97
2020-01-24    87.10  99.67    87.07  99.64   224.59 237.16    86.53  99.10    92.11 104.69    85.85  98.42
2020-01-25    86.71  99.13    86.68  99.11   224.20 236.62    86.14  98.56    91.73 104.15    85.46  97.88
2020-01-26    86.33  98.61    86.30  98.59   223.82 236.10    85.76  98.04    91.35 103.63    85.08  97.36
2020-01-27    85.96  98.10    85.93  98.08   223.44 235.59    85.39  97.53    90.97 103.12    84.71  96.85
2020-01-28    85.59  97.61    85.56  97.58   223.08 235.10    85.02  97.04    90.60 102.62    84.34  96.36
2020-01-29    85.23  97.12    85.20  97.10   222.72 234.61    84.66  96.55    90.24 102.14    83.98  95.87
2020-01-30    84.87  96.65    84.85  96.63   222.36 234.14    84.30  96.08    89.89 101.67    83.62  95.40
2020-01-31    84.52  96.19    84.50  96.17   222.01 233.68    83.95  95.62    89.54 101.21    83.27  94.94
