
       Target
                ecliptic
RA      Dec     latitude
192.190 -47.614 -38.393

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-01-17      2020-03-27        70.00     296.18075     352.49550     192.18957     -47.61368 
 2020-05-19      2020-08-01        74.00      67.95651     124.15104     192.18957     -47.61368 
 2021-01-16      2021-03-27        70.00     296.04829     352.11903     192.18957     -47.61368 
 2021-05-19      2021-08-01        74.00      67.62354     124.02730     192.18957     -47.61368 
 2022-01-16      2022-03-27        70.03     295.91030     351.77334     192.18957     -47.61368 
 2022-05-19      2022-08-01        73.93      67.38723     123.90739     192.18957     -47.61368 
 2023-01-16      2023-03-28        71.00     295.76958     352.57425     192.18957     -47.61368 
 2023-05-20      2023-08-02        74.00      68.17512     124.38584     192.18957     -47.61368 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max

2020-01-18   292.42 300.07   292.40 300.04    69.91  77.55   291.85 299.50   297.44 305.08   291.17 298.82
2020-01-19   292.56 301.21   292.53 301.19    70.05  78.70   291.99 300.64   297.58 306.23   291.31 299.96
2020-01-20   292.70 302.36   292.67 302.33    70.18  79.85   292.13 301.79   297.71 307.37   291.45 301.11
2020-01-21   293.06 303.27   293.04 303.24    70.55  80.76   292.49 302.70   298.08 308.29   291.81 302.02
2020-01-22   293.70 303.91   293.68 303.88    71.19  81.39   293.13 303.34   298.72 308.92   292.45 302.66
2020-01-23   294.34 304.54   294.32 304.52    71.83  82.03   293.77 303.97   299.36 309.56   293.09 303.29
2020-01-24   294.98 305.18   294.95 305.15    72.47  82.67   294.41 304.61   300.00 310.20   293.73 303.93
2020-01-25   295.62 305.82   295.59 305.79    73.10  83.31   295.05 305.25   300.63 310.83   294.37 304.57
2020-01-26   296.25 306.46   296.23 306.43    73.74  83.95   295.68 305.89   301.27 311.47   295.00 305.21
2020-01-27   296.89 307.10   296.86 307.07    74.37  84.59   296.32 306.53   301.90 312.11   295.64 305.85
2020-01-28   297.52 307.74   297.49 307.71    75.01  85.23   296.95 307.17   302.54 312.76   296.27 306.49
2020-01-29   298.16 308.38   298.13 308.36    75.64  85.87   297.59 307.81   303.17 313.40   296.90 307.13
2020-01-30   298.79 309.03   298.76 309.00    76.28  86.52   298.22 308.46   303.80 314.05   297.54 307.78
2020-01-31   299.42 309.68   299.40 309.65    76.91  87.17   298.85 309.11   304.44 314.69   298.17 308.43
2020-02-01   300.06 310.33   300.03 310.30    77.54  87.82   299.49 309.76   305.07 315.34   298.81 309.08
2020-02-02   300.69 310.98   300.67 310.96    78.18  88.47   300.12 310.41   305.71 316.00   299.44 309.73
2020-02-03   301.33 311.64   301.30 311.61    78.82  89.13   300.76 311.07   306.34 316.65   300.08 310.39
2020-02-04   301.97 312.30   301.94 312.27    79.45  89.78   301.40 311.73   306.98 317.31   300.72 311.05
2020-02-05   302.60 312.96   302.58 312.93    80.09  90.45   302.03 312.39   307.62 317.98   301.35 311.71
2020-02-06   303.24 313.63   303.22 313.60    80.73  91.11   302.67 313.06   308.26 318.64   301.99 312.38
2020-02-07   303.89 314.30   303.86 314.27    81.37  91.78   303.32 313.73   308.90 319.31   302.64 313.05
2020-02-08   304.53 314.97   304.51 314.95    82.02  92.46   303.96 314.40   309.55 319.99   303.28 313.72
2020-02-09   305.18 315.65   305.15 315.63    82.67  93.14   304.61 315.08   310.19 320.67   303.93 314.40
2020-02-10   305.83 316.34   305.80 316.31    83.32  93.82   305.26 315.77   310.84 321.35   304.58 315.09
2020-02-11   306.48 317.03   306.45 317.00    83.97  94.51   305.91 316.46   311.50 322.04   305.23 315.77
2020-02-12   307.14 317.72   307.11 317.69    84.62  95.21   306.57 317.15   312.15 322.74   305.89 316.47
2020-02-13   307.80 318.42   307.77 318.39    85.28  95.91   307.23 317.85   312.81 323.44   306.55 317.17
2020-02-14   308.46 319.13   308.43 319.10    85.95  96.62   307.89 318.56   313.48 324.14   307.21 317.88
2020-02-15   309.13 319.84   309.10 319.81    86.61  97.33   308.56 319.27   314.14 324.86   307.88 318.59
2020-02-16   309.80 320.56   309.77 320.53    87.29  98.05   309.23 319.99   314.81 325.57   308.55 319.31
2020-02-17   310.48 321.29   310.45 321.26    87.96  98.77   309.91 320.72   315.49 326.30   309.22 320.03
2020-02-18   311.16 322.02   311.13 321.99    88.64  99.51   310.59 321.45   316.17 327.03   309.91 320.77
2020-02-19   311.84 322.76   311.82 322.73    89.33 100.25   311.27 322.19   316.86 327.78   310.59 321.51
2020-02-20   312.54 323.51   312.51 323.48    90.02 101.00   311.97 322.94   317.55 328.52   311.29 322.26
2020-02-21   313.23 324.27   313.21 324.24    90.72 101.75   312.66 323.70   318.25 329.28   311.98 323.01
2020-02-22   313.94 325.03   313.91 325.00    91.43 102.52   313.37 324.46   318.95 330.05   312.69 323.78
2020-02-23   314.65 325.80   314.62 325.78    92.14 103.29   314.08 325.23   319.66 330.82   313.40 324.55
2020-02-24   315.37 326.59   315.34 326.56    92.85 104.07   314.80 326.02   320.38 331.60   314.12 325.34
2020-02-25   316.09 327.38   316.07 327.35    93.58 104.87   315.52 326.81   321.11 332.39   314.84 326.13
2020-02-26   316.82 328.18   316.80 328.16    94.31 105.67   316.25 327.61   321.84 333.20   315.57 326.93
2020-02-27   317.56 328.99   317.54 328.97    95.05 106.48   316.99 328.42   322.58 334.01   316.31 327.74
2020-02-28   318.31 329.82   318.29 329.79    95.80 107.30   317.74 329.25   323.33 334.83   317.06 328.57
2020-02-29   319.07 330.65   319.04 330.62    96.56 108.14   318.50 330.08   324.09 335.67   317.82 329.40
2020-03-01   319.84 331.50   319.81 331.47    97.32 108.98   319.27 330.93   324.85 336.51   318.59 330.24
2020-03-02   320.61 332.35   320.58 332.33    98.10 109.84   320.04 331.78   325.63 337.37   319.36 331.10
2020-03-03   321.40 333.22   321.37 333.19    98.88 110.71   320.83 332.65   326.41 338.24   320.15 331.97
2020-03-04   322.19 334.10   322.16 334.07    99.68 111.59   321.62 333.53   327.21 339.12   320.94 332.85
2020-03-05   323.00 335.00   322.97 334.97   100.48 112.48   322.43 334.43   328.01 340.01   321.75 333.74
2020-03-06   323.81 335.90   323.79 335.88   101.30 113.39   323.24 335.33   328.83 340.92   322.56 334.65
2020-03-07   324.64 336.82   324.61 336.80   102.13 114.31   324.07 336.25   329.66 341.84   323.39 335.57
2020-03-08   325.48 337.76   325.45 337.73   102.97 115.24   324.91 337.19   330.50 342.77   324.23 336.51
2020-03-09   326.33 338.70   326.30 338.68   103.82 116.19   325.76 338.13   331.35 343.72   325.08 337.45
2020-03-10   327.20 339.67   327.17 339.64   104.68 117.15   326.63 339.10   332.21 344.68   325.94 338.42
2020-03-11   328.07 340.64   328.05 340.62   105.56 118.13   327.50 340.07   333.09 345.66   326.82 339.39
2020-03-12   328.96 341.64   328.94 341.61   106.45 119.13   328.39 341.07   333.98 346.65   327.71 340.39
2020-03-13   329.87 342.65   329.84 342.62   107.35 120.13   329.30 342.08   334.88 347.66   328.62 341.40
2020-03-14   330.78 343.67   330.76 343.65   108.27 121.16   330.21 343.10   335.80 348.69   329.53 342.42
2020-03-15   331.72 344.71   331.69 344.69   109.20 122.20   331.15 344.14   336.73 349.73   330.47 343.46
2020-03-16   332.66 345.77   332.64 345.75   110.15 123.26   332.09 345.20   337.68 350.79   331.41 344.52
2020-03-17   333.63 346.85   333.60 346.82   111.12 124.33   333.06 346.28   338.64 351.86   332.38 345.60
2020-03-18   334.61 347.94   334.58 347.91   112.09 125.43   334.04 347.37   339.62 352.96   333.36 346.69
2020-03-19   335.60 349.05   335.58 349.02   113.09 126.54   335.03 348.48   340.62 354.07   334.35 347.80
2020-03-20   336.62 350.18   336.59 350.15   114.10 127.67   336.05 349.61   341.63 355.19   335.36 348.93
2020-03-21   337.64 351.33   337.62 351.30   115.13 128.81   337.07 350.76   342.66 356.34   336.39 350.08
2020-03-22   338.69 352.49   338.66 352.46   116.18 129.98   338.12 351.92   343.71 357.51   337.44 351.24
2020-03-23   339.76 353.67   339.73 353.65   117.24 131.16   339.19 353.10   344.77 358.69   338.51 352.42
2020-03-24   340.84 354.88   340.81 354.85   118.33 132.36   340.27 354.31   345.85 359.89   339.59 353.63
2020-03-25   341.94 356.10   341.91 356.07   119.43 133.59   341.37 355.53   346.96   1.11   340.69 354.85
2020-03-26   343.06 357.34   343.03 357.31   120.55 134.83   342.49 356.77   348.08   2.35   341.81 356.09
2020-03-27   344.20 358.60   344.17 358.57   121.69 136.09   343.63 358.03   349.21   3.61   342.95 357.35

2020-05-20    60.88  75.27    60.86  75.24   198.37 212.75    60.31  74.70    65.90  80.28    59.63  74.02
2020-05-21    62.11  76.38    62.08  76.35   199.60 213.86    61.54  75.81    67.12  81.39    60.86  75.13
2020-05-22    63.32  77.47    63.29  77.44   200.80 214.95    62.75  76.90    68.33  82.48    62.07  76.22
2020-05-23    64.50  78.54    64.48  78.51   201.99 216.03    63.93  77.97    69.52  83.55    63.25  77.29
