
       Target
                ecliptic
RA      Dec     latitude
170.324 -22.388 -24.284

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-01-01      2020-02-10        40.90     299.26982     322.43862     170.32432     -22.38818 
 2020-04-30      2020-06-27        58.02      89.48917     117.75001     170.32432     -22.38818 
 2020-12-16      2021-02-10        56.00     293.17788     323.06550     170.32432     -22.38818 
 2021-04-30      2021-06-28        59.00      89.25382     118.04030     170.32432     -22.38818 
 2021-12-17      2022-02-10        55.00     293.52422     322.83451     170.32432     -22.38818 
 2022-04-30      2022-06-28        59.00      89.01986     117.95120     170.32432     -22.38818 
 2022-12-17      2023-02-10        55.00     293.44861     322.59991     170.32432     -22.38818 
 2023-04-30      2023-06-28        58.99      88.78971     117.86559     170.32432     -22.38818 
 2023-12-17      2023-12-31        13.10     293.37461     298.94938     170.32432     -22.38818 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max
2020-01-01   294.12 304.42   294.09 304.40    71.60  81.91   293.55 303.85   299.13 309.44   292.87 303.17
2020-01-02   294.54 304.87   294.51 304.84    72.03  82.36   293.97 304.30   299.55 309.89   293.29 303.62
2020-01-03   294.96 305.32   294.94 305.29    72.45  82.81   294.39 304.75   299.98 310.34   293.71 304.07
2020-01-04   295.39 305.78   295.36 305.75    72.87  83.26   294.82 305.21   300.40 310.79   294.14 304.53
2020-01-05   295.81 306.24   295.78 306.21    73.30  83.72   295.24 305.67   300.83 311.25   294.56 304.99
2020-01-06   296.24 306.70   296.21 306.67    73.73  84.19   295.67 306.13   301.25 311.72   294.99 305.45
2020-01-07   296.67 307.17   296.64 307.14    74.15  84.66   296.10 306.60   301.68 312.18   295.42 305.92
2020-01-08   297.10 307.64   297.07 307.62    74.58  85.13   296.53 307.07   302.11 312.66   295.85 306.39
2020-01-09   297.53 308.12   297.50 308.10    75.02  85.61   296.96 307.55   302.54 313.14   296.28 306.87
2020-01-10   297.96 308.61   297.94 308.58    75.45  86.09   297.39 308.04   302.98 313.62   296.71 307.36
2020-01-11   298.40 309.10   298.38 309.07    75.89  86.59   297.83 308.53   303.42 314.11   297.15 307.85
