
       Target
                ecliptic
RA      Dec     latitude
306.741  33.744  50.778

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-05-04      2020-11-22       202.00     253.62501      61.22379     306.74113      33.74439 
 2021-05-04      2021-11-22       202.00     253.84907      61.42188     306.74113      33.74439 
 2022-05-04      2022-11-23       203.00     254.06782      60.81870     306.74113      33.74439 
 2023-05-05      2023-11-23       202.00     253.53740      60.99924     306.74113      33.74439 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max

2020-05-05   249.84 257.26   249.81 257.24    27.32  34.75   249.27 256.69   254.85 262.28   248.59 256.01
2020-05-06   248.71 256.90   248.68 256.87    26.20  34.38   248.14 256.33   253.72 261.91   247.46 255.64
2020-05-07   247.58 256.53   247.56 256.50    25.07  34.02   247.01 255.96   252.60 261.54   246.33 255.28
2020-05-08   246.46 256.17   246.43 256.14    23.95  33.65   245.89 255.60   251.47 261.18   245.21 254.91
2020-05-09   245.46 255.67   245.44 255.65    22.95  33.16   244.89 255.10   250.48 260.69   244.21 254.42
2020-05-10   244.72 254.93   244.70 254.90    22.21  32.41   244.15 254.36   249.74 259.94   243.47 253.68
2020-05-11   243.98 254.18   243.95 254.16    21.47  31.67   243.41 253.61   249.00 259.20   242.73 252.93
2020-05-12   243.24 253.44   243.21 253.41    20.73  30.93   242.67 252.87   248.26 258.46   241.99 252.19
2020-05-13   242.50 252.70   242.47 252.67    19.99  30.19   241.93 252.13   247.51 257.71   241.25 251.45
2020-05-14   241.76 251.96   241.73 251.93    19.24  29.44   241.19 251.39   246.77 256.97   240.51 250.71
2020-05-15   241.01 251.22   240.99 251.19    18.50  28.70   240.44 250.65   246.03 256.23   239.76 249.97
2020-05-16   240.27 250.48   240.24 250.45    17.76  27.96   239.70 249.91   245.29 255.49   239.02 249.23
2020-05-17   239.53 249.74   239.50 249.71    17.01  27.22   238.96 249.17   244.54 254.75   238.28 248.49
2020-05-18   238.78 249.00   238.75 248.97    16.27  26.48   238.21 248.43   243.80 254.01   237.53 247.75
2020-05-19   238.03 248.26   238.01 248.23    15.52  25.74   237.46 247.69   243.05 253.27   236.78 247.01
2020-05-20   237.29 247.52   237.26 247.49    14.77  25.00   236.72 246.95   242.30 252.53   236.03 246.26
2020-05-21   236.54 246.77   236.51 246.75    14.02  24.26   235.97 246.20   241.55 251.79   235.28 245.52
2020-05-22   235.78 246.03   235.76 246.01    13.27  23.52   235.21 245.46   240.80 251.05   234.53 244.78
2020-05-23   235.03 245.29   235.00 245.26    12.52  22.78   234.46 244.72   240.04 250.31   233.78 244.04
