
       Target
                ecliptic
RA      Dec     latitude
164.856 -56.624 -55.420

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-01-02      2020-07-22       201.93     305.11692     140.47476     164.85634     -56.62356 
 2021-01-02      2021-07-22       201.00     305.73909     140.31038     164.85634     -56.62356 
 2022-01-02      2022-07-22       201.00     305.56619     140.15332     164.85634     -56.62356 
 2023-01-02      2023-07-22       201.07     305.39706     140.04432     164.85634     -56.62356 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max

2020-01-03   301.72 308.56   301.70 308.54    79.21  86.05   301.15 307.99   306.74 313.58   300.47 307.31
2020-01-04   302.22 309.78   302.19 309.75    79.70  87.27   301.65 309.21   307.23 314.79   300.97 308.53
2020-01-05   302.71 310.99   302.68 310.97    80.19  88.48   302.14 310.42   307.72 316.01   301.46 309.74
2020-01-06   303.20 312.21   303.17 312.18    80.68  89.69   302.63 311.64   308.21 317.22   301.94 310.96
2020-01-07   303.68 313.42   303.66 313.40    81.17  90.91   303.11 312.85   308.70 318.44   302.43 312.17
2020-01-08   304.30 314.51   304.27 314.48    81.79  91.99   303.73 313.94   309.31 319.52   303.05 313.26
2020-01-09   305.15 315.35   305.12 315.33    82.64  92.84   304.58 314.78   310.16 320.37   303.90 314.10
2020-01-10   306.00 316.20   305.97 316.17    83.49  93.69   305.43 315.63   311.01 321.22   304.75 314.95
2020-01-11   306.85 317.05   306.82 317.02    84.34  94.54   306.28 316.48   311.86 322.06   305.60 315.80
2020-01-12   307.70 317.90   307.67 317.87    85.18  95.38   307.13 317.33   312.71 322.91   306.45 316.65
2020-01-13   308.54 318.75   308.52 318.72    86.03  96.23   307.97 318.18   313.56 323.76   307.29 317.49
2020-01-14   309.39 319.59   309.37 319.57    86.88  97.08   308.82 319.02   314.41 324.61   308.14 318.34
