
       Target
                ecliptic
RA      Dec     latitude
127.883  11.922  -6.756

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-03-11      2020-05-02        51.92      97.53322     104.95278     127.88291      11.92226 
 2020-10-25      2020-12-14        50.00     283.57647     291.14495     127.88291      11.92226 
 2021-03-12      2021-05-03        52.00      97.70765     105.02535     127.88291      11.92226 
 2021-10-25      2021-12-14        50.05     283.54275     291.12765     127.88291      11.92226 
 2022-03-12      2022-05-03        52.00      97.66427     104.98419     127.88291      11.92226 
 2022-10-25      2022-12-15        50.99     283.51382     291.33684     127.88291      11.92226 
 2023-03-12      2023-05-03        52.00      97.61567     104.94025     127.88291      11.92226 
 2023-10-26      2023-12-15        50.00     283.60596     291.30564     127.88291      11.92226 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max

2020-03-12    90.32 104.76    90.29 104.73   227.81 242.24    89.75 104.19    95.33 109.77    89.07 103.51
2020-03-13    90.67 104.87    90.64 104.84   228.16 242.36    90.10 104.30    95.69 109.88    89.42 103.62
2020-03-14    91.01 104.98    90.98 104.95   228.50 242.47    90.44 104.41    96.03 109.99    89.76 103.73
2020-03-15    91.34 105.09    91.31 105.06   228.82 242.57    90.77 104.52    96.35 110.10    90.09 103.83
2020-03-16    91.65 105.19    91.62 105.17   229.14 242.68    91.08 104.62    96.67 110.21    90.40 103.94
2020-03-17    91.95 105.30    91.93 105.27   229.44 242.78    91.38 104.73    96.97 110.31    90.70 104.05
2020-03-18    92.24 105.40    92.22 105.37   229.73 242.89    91.67 104.83    97.26 110.42    90.99 104.15
2020-03-19    92.53 105.50    92.50 105.48   230.01 242.99    91.96 104.93    97.54 110.52    91.27 104.25
2020-03-20    92.80 105.60    92.77 105.58   230.28 243.09    92.23 105.03    97.81 110.62    91.55 104.35
2020-03-21    93.06 105.71    93.03 105.68   230.55 243.19    92.49 105.14    98.08 110.72    91.81 104.45
2020-03-22    93.31 105.81    93.29 105.78   230.80 243.29    92.74 105.24    98.33 110.82    92.06 104.55
2020-03-23    93.56 105.90    93.53 105.88   231.05 243.39    92.99 105.33    98.58 110.92    92.31 104.65
2020-03-24    93.80 106.00    93.77 105.98   231.29 243.49    93.23 105.43    98.81 111.02    92.55 104.75
