
       Target
                ecliptic
RA      Dec     latitude
297.045  46.329  65.266

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-04-26      2020-11-23       211.00     255.18600      52.67702     297.04540      46.32867 
 2021-04-26      2021-11-23       211.00     255.45213      52.91289     297.04540      46.32867 
 2022-04-27      2022-11-24       211.00     254.83092      52.21070     297.04540      46.32867 
 2023-04-27      2023-11-24       211.00     255.09392      52.42649     297.04540      46.32867 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max

2020-04-27   251.57 258.63   251.54 258.60    29.06  36.11   251.00 258.06   256.58 263.64   250.32 257.38
2020-04-28   250.44 258.00   250.41 257.97    27.93  35.48   249.87 257.43   255.45 263.01   249.19 256.74
2020-04-29   249.31 257.37   249.28 257.34    26.80  34.85   248.74 256.80   254.32 262.38   248.06 256.12
2020-04-30   248.18 256.74   248.15 256.71    25.67  34.23   247.61 256.17   253.20 261.75   246.93 255.49
2020-05-01   247.05 256.11   247.03 256.09    24.54  33.60   246.48 255.54   252.07 261.13   245.80 254.86
2020-05-02   245.93 255.49   245.90 255.46    23.41  32.98   245.36 254.92   250.94 260.50   244.67 254.24
2020-05-03   244.80 254.86   244.77 254.84    22.29  32.35   244.23 254.29   249.81 259.88   243.55 253.61
2020-05-04   243.85 254.06   243.83 254.03    21.34  31.55   243.28 253.49   248.87 259.08   242.60 252.81
2020-05-05   242.98 253.19   242.96 253.16    20.47  30.67   242.41 252.62   248.00 258.20   241.73 251.94
2020-05-06   242.11 252.31   242.08 252.29    19.60  29.80   241.54 251.74   247.13 257.33   240.86 251.06
2020-05-07   241.24 251.44   241.21 251.41    18.73  28.93   240.67 250.87   246.25 256.46   239.99 250.19
2020-05-08   240.37 250.57   240.34 250.54    17.85  28.06   239.80 250.00   245.38 255.58   239.12 249.32
2020-05-09   239.50 249.70   239.47 249.67    16.98  27.18   238.93 249.13   244.51 254.71   238.25 248.45
2020-05-10   238.63 248.83   238.60 248.80    16.11  26.31   238.06 248.26   243.64 253.84   237.37 247.57
2020-05-11   237.75 247.95   237.73 247.93    15.24  25.44   237.18 247.38   242.77 252.97   236.50 246.70
2020-05-12   236.88 247.08   236.86 247.06    14.37  24.57   236.31 246.51   241.90 252.10   235.63 245.83
2020-05-13   236.01 246.21   235.98 246.19    13.50  23.70   235.44 245.64   241.03 251.23   234.76 244.96
2020-05-14   235.14 245.34   235.11 245.32    12.63  22.83   234.57 244.77   240.15 250.36   233.89 244.09
2020-05-15   234.27 244.47   234.24 244.45    11.75  21.96   233.70 243.90   239.28 249.49   233.02 243.22
