
       Target
                ecliptic
RA      Dec     latitude
291.225  44.927  65.569

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-04-15      2020-11-13       212.00     260.71940      57.64041     291.22509      44.92729 
 2021-04-16      2021-11-13       211.00     260.10109      57.89084     291.22509      44.92729 
 2022-04-16      2022-11-13       211.00     260.37023      58.13352     291.22509      44.92729 
 2023-04-16      2023-11-14       212.00     260.64352      57.44322     291.22509      44.92729 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max

2020-04-16   257.15 264.11   257.12 264.09    34.64  41.60   256.58 263.54   262.16 269.13   255.90 262.86
2020-04-17   256.01 263.47   255.99 263.45    33.50  40.96   255.44 262.90   261.03 268.49   254.76 262.22
2020-04-18   254.88 262.83   254.85 262.81    32.37  40.32   254.31 262.26   259.89 267.85   253.63 261.58
2020-04-19   253.75 262.20   253.72 262.17    31.23  39.68   253.18 261.63   258.76 267.21   252.50 260.94
2020-04-20   252.61 261.56   252.59 261.53    30.10  39.05   252.04 260.99   257.63 266.57   251.36 260.31
2020-04-21   251.48 260.93   251.46 260.90    28.97  38.41   250.91 260.36   256.50 265.94   250.23 259.68
2020-04-22   250.35 260.29   250.32 260.27    27.84  37.78   249.78 259.72   255.37 265.31   249.10 259.04
2020-04-23   249.34 259.55   249.31 259.52    26.83  37.03   248.77 258.98   254.35 264.56   248.09 258.30
2020-04-24   248.46 258.66   248.43 258.64    25.95  36.15   247.89 258.09   253.47 263.68   247.21 257.41
2020-04-25   247.58 257.79   247.56 257.76    25.07  35.27   247.01 257.22   252.60 262.80   246.33 256.53
2020-04-26   246.70 256.91   246.68 256.88    24.19  34.39   246.13 256.34   251.72 261.92   245.45 255.66
2020-04-27   245.83 256.03   245.80 256.00    23.31  33.52   245.26 255.46   250.84 261.04   244.58 254.78
2020-04-28   244.95 255.15   244.92 255.12    22.44  32.64   244.38 254.58   249.97 260.17   243.70 253.90
2020-04-29   244.07 254.27   244.05 254.25    21.56  31.76   243.50 253.70   249.09 259.29   242.82 253.02
2020-04-30   243.20 253.40   243.17 253.37    20.69  30.89   242.63 252.83   248.21 258.41   241.95 252.15
2020-05-01   242.32 252.52   242.30 252.50    19.81  30.01   241.75 251.95   247.34 257.54   241.07 251.27
2020-05-02   241.45 251.65   241.42 251.62    18.93  29.14   240.88 251.08   246.46 256.66   240.19 250.40
2020-05-03   240.57 250.77   240.54 250.75    18.06  28.26   240.00 250.20   245.58 255.79   239.32 249.52
2020-05-04   239.69 249.90   239.67 249.87    17.18  27.39   239.12 249.33   244.71 254.91   238.44 248.65
2020-05-05   238.81 249.02   238.79 249.00    16.30  26.51   238.24 248.45   243.83 254.04   237.56 247.77
2020-05-06   237.94 248.15   237.91 248.12    15.42  25.64   237.37 247.58   242.95 253.16   236.69 246.90
2020-05-07   237.06 247.28   237.03 247.25    14.55  24.76   236.49 246.71   242.07 252.29   235.81 246.02
2020-05-08   236.18 246.40   236.15 246.37    13.67  23.89   235.61 245.83   241.19 251.42   234.93 245.15
2020-05-09   235.30 245.53   235.27 245.50    12.79  23.01   234.73 244.96   240.31 250.54   234.05 244.27
2020-05-10   234.42 244.65   234.39 244.62    11.91  22.14   233.85 244.08   239.43 249.66   233.17 243.40
2020-05-11   233.54 243.77   233.51 243.75    11.02  21.26   232.97 243.20   238.55 248.79   232.29 242.52
2020-05-12   232.65 242.90   232.63 242.87    10.14  20.38   232.08 242.33   237.67 247.91   231.40 241.65
2020-05-13   231.77 242.02   231.74 241.99     9.26  19.51   231.20 241.45   236.79 247.04   230.52 240.77
2020-05-14   230.89 241.14   230.86 241.12     8.37  18.63   230.32 240.57   235.90 246.16   229.63 239.89
2020-05-15   230.00 240.26   229.97 240.24     7.49  17.75   229.43 239.69   235.01 245.28   228.75 239.01
2020-05-16   229.11 239.38   229.08 239.36     6.60  16.87   228.54 238.81   234.13 244.40   227.86 238.13
2020-05-17   228.22 238.50   228.20 238.48     5.71  15.99   227.65 237.93   233.24 243.52   226.97 237.25
2020-05-18   227.33 237.62   227.30 237.59     4.82  15.11   226.76 237.05   232.35 242.64   226.08 236.37
2020-05-19   226.44 236.74   226.41 236.71     3.93  14.22   225.87 236.17   231.45 241.75   225.19 235.49
2020-05-20   225.54 235.85   225.52 235.83     3.03  13.34   224.97 235.28   230.56 240.87   224.29 234.60
2020-05-21   224.65 234.97   224.62 234.94     2.14  12.45   224.08 234.40   229.66 239.98   223.40 233.72
2020-05-22   223.75 234.08   223.72 234.05     1.24  11.57   223.18 233.51   228.76 239.09   222.50 232.83
2020-05-23   222.85 233.19   222.82 233.16     0.34  10.68   222.28 232.62   227.86 238.21   221.60 231.94
2020-05-24   221.95 232.30   221.92 232.27   359.43   9.79   221.38 231.73   226.96 237.31   220.70 231.05
2020-05-25   221.04 231.41   221.02 231.38   358.53   8.89   220.47 230.84   226.06 236.42   219.79 230.16
2020-05-26   220.14 230.51   220.11 230.49   357.62   8.00   219.57 229.94   225.15 235.53   218.89 229.26
2020-05-27   219.23 229.62   219.20 229.59   356.72   7.10   218.66 229.05   224.24 234.63   217.98 228.37
2020-05-28   218.32 228.72   218.29 228.69   355.80   6.21   217.75 228.15   223.33 233.73   217.07 227.47
2020-05-29   217.40 227.82   217.38 227.79   354.89   5.31   216.83 227.25   222.42 232.83   216.15 226.57
2020-05-30   216.49 226.92   216.46 226.89   353.98   4.40   215.92 226.35   221.50 231.93   215.24 225.67
2020-05-31   215.57 226.01   215.54 225.99   353.06   3.50   215.00 225.44   220.58 231.03   214.32 224.76
2020-06-01   214.65 225.10   214.62 225.08   352.14   2.59   214.08 224.53   219.66 230.12   213.40 223.85
2020-06-02   213.72 224.20   213.70 224.17   351.21   1.68   213.15 223.63   218.74 229.21   212.47 222.94
2020-06-03   212.80 223.28   212.77 223.26   350.29   0.77   212.23 222.71   217.81 228.30   211.55 222.03
2020-06-04   211.87 222.37   211.84 222.34   349.36 359.86   211.30 221.80   216.88 227.38   210.62 221.12
2020-06-05   210.94 221.45   210.91 221.43   348.42 358.94   210.37 220.88   215.95 226.47   209.69 220.20
2020-06-06   210.00 220.53   209.98 220.51   347.49 358.02   209.43 219.96   215.02 225.55   208.75 219.28
2020-06-07   209.06 219.61   209.04 219.58   346.55 357.10   208.49 219.04   214.08 224.63   207.81 218.36
2020-06-08   208.12 218.69   208.10 218.66   345.61 356.17   207.55 218.12   213.14 223.70   206.87 217.44
2020-06-09   207.18 217.76   207.15 217.73   344.67 355.25   206.61 217.19   212.19 222.77   205.93 216.51
2020-06-10   206.23 216.83   206.21 216.80   343.72 354.32   205.66 216.26   211.25 221.84   204.98 215.58
2020-06-11   205.28 215.89   205.26 215.87   342.77 353.38   204.71 215.32   210.30 220.91   204.03 214.64
2020-06-12   204.33 214.96   204.30 214.93   341.82 352.45   203.76 214.39   209.34 219.97   203.08 213.71
2020-06-13   203.37 214.02   203.35 213.99   340.86 351.51   202.80 213.45   208.39 219.03   202.12 212.77
2020-06-14   202.41 213.08   202.39 213.05   339.90 350.56   201.84 212.51   207.43 218.09   201.16 211.83
2020-06-15   201.45 212.13   201.42 212.10   338.94 349.62   200.88 211.56   206.47 217.15   200.20 210.88
2020-06-16   200.49 211.18   200.46 211.16   337.97 348.67   199.92 210.61   205.50 216.20   199.23 209.93
2020-06-17   199.52 210.23   199.49 210.20   337.00 347.72   198.95 209.66   204.53 215.24   198.27 208.98
2020-06-18   198.54 209.27   198.52 209.25   336.03 346.76   197.97 208.70   203.56 214.29   197.29 208.02
2020-06-19   197.57 208.32   197.54 208.29   335.06 345.80   197.00 207.75   202.58 213.33   196.32 207.07
2020-06-20   196.59 207.35   196.56 207.33   334.08 344.84   196.02 206.78   201.60 212.37   195.34 206.10
2020-06-21   195.61 206.39   195.58 206.36   333.09 343.88   195.04 205.82   200.62 211.40   194.36 205.14
2020-06-22   194.62 205.42   194.60 205.39   332.11 342.91   194.05 204.85   199.64 210.44   193.37 204.17
2020-06-23   193.63 204.45   193.61 204.42   331.12 341.94   193.06 203.88   198.65 209.46   192.38 203.20
2020-06-24   192.64 203.47   192.62 203.45   330.13 340.96   192.07 202.90   197.66 208.49   191.39 202.22
2020-06-25   191.65 202.50   191.62 202.47   329.13 339.98   191.08 201.93   196.66 207.51   190.40 201.25
2020-06-26   190.65 201.51   190.62 201.49   328.14 339.00   190.08 200.94   195.66 206.53   189.40 200.26
2020-06-27   189.65 200.53   189.62 200.50   327.13 338.02   189.08 199.96   194.66 205.55   188.40 199.28
2020-06-28   188.64 199.54   188.62 199.52   326.13 337.03   188.07 198.97   193.66 204.56   187.39 198.29
2020-06-29   187.63 198.55   187.61 198.52   325.12 336.04   187.06 197.98   192.65 203.57   186.38 197.30
2020-06-30   186.62 197.56   186.60 197.53   324.11 335.04   186.05 196.99   191.64 202.57   185.37 196.31
2020-07-01   185.61 196.56   185.58 196.53   323.10 334.05   185.04 195.99   190.63 201.57   184.36 195.31
2020-07-02   184.59 195.56   184.57 195.53   322.08 333.04   184.02 194.99   189.61 200.57   183.34 194.31
2020-07-03   183.57 194.55   183.55 194.53   321.06 332.04   183.00 193.98   188.59 199.57   182.32 193.30
2020-07-04   182.55 193.55   182.53 193.52   320.04 331.03   181.98 192.98   187.57 198.56   181.30 192.29
2020-07-05   181.53 192.53   181.50 192.51   319.01 330.02   180.96 191.96   186.54 197.55   180.28 191.28
2020-07-06   180.50 191.52   180.47 191.49   317.99 329.01   179.93 190.95   185.51 196.54   179.25 190.27
2020-07-07   179.47 190.50   179.44 190.48   316.96 327.99   178.90 189.93   184.48 195.52   178.22 189.25
2020-07-08   178.44 189.48   178.41 189.46   315.92 326.97   177.87 188.91   183.45 194.50   177.18 188.23
2020-07-09   177.40 188.46   177.37 188.44   314.89 325.95   176.83 187.89   182.42 193.48   176.15 187.21
2020-07-10   176.36 187.44   176.34 187.41   313.85 324.92   175.79 186.87   181.38 192.45   175.11 186.19
2020-07-11   175.32 186.41   175.30 186.38   312.81 323.90   174.75 185.84   180.34 191.42   174.07 185.16
2020-07-12   174.28 185.38   174.25 185.35   311.77 322.87   173.71 184.81   179.30 190.39   173.03 184.13
2020-07-13   173.24 184.35   173.21 184.32   310.72 321.83   172.67 183.78   178.25 189.36   171.98 183.09
2020-07-14   172.19 183.31   172.16 183.28   309.68 320.80   171.62 182.74   177.20 188.33   170.94 182.06
2020-07-15   171.14 182.27   171.11 182.25   308.63 319.76   170.57 181.70   176.16 187.29   169.89 181.02
2020-07-16   170.09 181.23   170.06 181.21   307.58 318.72   169.52 180.66   175.11 186.25   168.84 179.98
2020-07-17   169.04 180.19   169.01 180.16   306.53 317.68   168.47 179.62   174.05 185.20   167.79 178.94
2020-07-18   167.99 179.14   167.96 179.12   305.47 316.63   167.42 178.57   173.00 184.16   166.74 177.89
2020-07-19   166.93 178.10   166.91 178.07   304.42 315.59   166.36 177.53   171.95 183.11   165.68 176.85
2020-07-20   165.88 177.05   165.85 177.02   303.36 314.54   165.31 176.48   170.89 182.07   164.63 175.80
2020-07-21   164.82 176.00   164.79 175.97   302.31 313.49   164.25 175.43   169.84 181.02   163.57 174.75
2020-07-22   163.76 174.95   163.74 174.92   301.25 312.44   163.19 174.38   168.78 179.96   162.51 173.70
2020-07-23   162.70 173.90   162.68 173.87   300.19 311.38   162.13 173.33   167.72 178.91   161.45 172.64
2020-07-24   161.64 172.84   161.62 172.81   299.13 310.33   161.07 172.27   166.66 177.86   160.39 171.59
2020-07-25   160.58 171.79   160.56 171.76   298.07 309.27   160.01 171.22   165.60 176.80   159.33 170.53
