
       Target
                ecliptic
RA      Dec     latitude
289.341  46.988  67.957

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-04-13      2020-11-13       214.00     261.35704      56.05324     289.34146      46.98815 
 2021-04-13      2021-11-13       214.00     261.63255      56.30872     289.34146      46.98815 
 2022-04-13      2022-11-13       214.00     261.90813      56.55641     289.34146      46.98815 
 2023-04-13      2023-11-14       214.91     262.10790      55.85465     289.34146      46.98815 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max

2020-04-14   257.65 264.89   257.62 264.86    35.13  42.37   257.08 264.32   262.66 269.90   256.40 263.64
2020-04-15   256.52 264.20   256.49 264.18    34.01  41.69   255.95 263.63   261.53 269.22   255.27 262.95
2020-04-16   255.39 263.53   255.36 263.50    32.88  41.01   254.82 262.96   260.41 268.54   254.14 262.27
2020-04-17   254.26 262.85   254.24 262.82    31.75  40.34   253.69 262.28   259.28 267.86   253.01 261.60
2020-04-18   253.14 262.17   253.11 262.15    30.63  39.66   252.57 261.60   258.15 267.19   251.89 260.92
2020-04-19   252.01 261.50   251.99 261.47    29.50  38.99   251.44 260.93   257.03 266.51   250.76 260.25
2020-04-20   250.89 260.83   250.86 260.80    28.38  38.31   250.32 260.26   255.90 265.84   249.64 259.58
2020-04-21   249.86 260.06   249.83 260.04    27.34  37.55   249.29 259.49   254.87 265.08   248.60 258.81
2020-04-22   248.96 259.17   248.93 259.14    26.45  36.65   248.39 258.60   253.98 264.18   247.71 257.92
2020-04-23   248.07 258.27   248.04 258.24    25.55  35.76   247.50 257.70   253.08 263.29   246.81 257.02
2020-04-24   247.17 257.37   247.15 257.35    24.66  34.86   246.60 256.80   252.19 262.39   245.92 256.12
2020-04-25   246.28 256.48   246.25 256.45    23.77  33.97   245.71 255.91   251.29 261.49   245.03 255.23
2020-04-26   245.38 255.59   245.36 255.56    22.87  33.07   244.81 255.02   250.40 260.60   244.13 254.33
2020-04-27   244.49 254.69   244.47 254.67    21.98  32.18   243.92 254.12   249.51 259.71   243.24 253.44
2020-04-28   243.60 253.80   243.57 253.77    21.09  31.29   243.03 253.23   248.61 258.81   242.35 252.55
2020-04-29   242.71 252.91   242.68 252.88    20.19  30.39   242.14 252.34   247.72 257.92   241.46 251.66
2020-04-30   241.81 252.02   241.79 251.99    19.30  29.50   241.24 251.45   246.83 257.03   240.56 250.76
2020-05-01   240.92 251.12   240.89 251.10    18.41  28.61   240.35 250.55   245.94 256.14   239.67 249.87
2020-05-02   240.03 250.23   240.00 250.21    17.52  27.72   239.46 249.66   245.04 255.25   238.78 248.98
2020-05-03   239.14 249.34   239.11 249.32    16.62  26.83   238.57 248.77   244.15 254.36   237.88 248.09
2020-05-04   238.24 248.45   238.22 248.42    15.73  25.94   237.67 247.88   243.26 253.47   236.99 247.20
2020-05-05   237.35 247.56   237.32 247.53    14.84  25.05   236.78 246.99   242.36 252.58   236.10 246.31
2020-05-06   236.45 246.67   236.43 246.64    13.94  24.16   235.88 246.10   241.47 251.68   235.20 245.42
2020-05-07   235.56 245.78   235.53 245.75    13.05  23.27   234.99 245.21   240.58 250.79   234.31 244.53
