
       Target
                ecliptic
RA      Dec     latitude
297.333  41.891  61.124

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-04-24      2020-11-18       208.00     256.73696      57.78142     297.33307      41.89112 
 2021-04-24      2021-11-18       208.00     256.99460      58.01462     297.33307      41.89112 
 2022-04-25      2022-11-18       207.00     256.39722      58.23939     297.33307      41.89112 
 2023-04-25      2023-11-19       208.00     256.65336      57.56161     297.33307      41.89112 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max

2020-04-25   253.11 260.20   253.08 260.17    30.60  37.68   252.54 259.63   258.12 265.21   251.86 258.94
2020-04-26   251.97 259.64   251.94 259.61    29.46  37.12   251.40 259.07   256.98 264.65   250.72 258.38
2020-04-27   250.83 259.08   250.81 259.05    28.32  36.56   250.26 258.51   255.85 264.09   249.58 257.83
2020-04-28   249.69 258.52   249.67 258.49    27.18  36.01   249.12 257.95   254.71 263.53   248.44 257.27
2020-04-29   248.56 257.96   248.53 257.94    26.05  35.45   247.99 257.39   253.57 262.98   247.31 256.71
2020-04-30   247.42 257.41   247.40 257.38    24.91  34.90   246.85 256.84   252.44 262.43   246.17 256.16
2020-05-01   246.47 256.68   246.44 256.65    23.96  34.16   245.90 256.11   251.48 261.69   245.22 255.43
2020-05-02   245.63 255.83   245.60 255.81    23.12  33.32   245.06 255.26   250.64 260.85   244.38 254.58
2020-05-03   244.79 254.99   244.76 254.96    22.27  32.48   244.22 254.42   249.80 260.01   243.54 253.74
2020-05-04   243.95 254.15   243.92 254.12    21.43  31.64   243.38 253.58   248.96 259.16   242.70 252.90
2020-05-05   243.11 253.31   243.08 253.28    20.59  30.79   242.54 252.74   248.12 258.32   241.86 252.06
2020-05-06   242.27 252.47   242.24 252.44    19.75  29.95   241.70 251.90   247.28 257.48   241.01 251.21
2020-05-07   241.43 251.63   241.40 251.60    18.91  29.11   240.86 251.06   246.44 256.64   240.17 250.37
2020-05-08   240.58 250.79   240.56 250.76    18.07  28.27   240.01 250.22   245.60 255.80   239.33 249.54
2020-05-09   239.74 249.95   239.72 249.92    17.23  27.43   239.17 249.38   244.76 254.96   238.49 248.70
