
       Target
                ecliptic
RA      Dec     latitude
 47.732 297.971 -71.508

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-01-01      2020-01-01         0.90      47.20932      48.09295      47.73160     297.97073 
 2020-05-28      2021-01-01       218.00     196.68134      48.86363      47.73160     297.97073 
 2021-05-29      2022-01-01       217.00     197.36787      48.65405      47.73160     297.97073 
 2022-05-29      2023-01-01       217.00     197.15298      48.45366      47.73160     297.97073 
 2023-05-29      2023-12-31       215.10     196.93997      46.39287      47.73160     297.97073 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max
2020-01-01    43.63  50.79    43.61  50.76   181.12 188.27    43.06  50.22    48.65  55.80    42.38  49.53

2020-05-29   193.34 200.21   193.31 200.18   330.82 337.70   192.77 199.64   198.35 205.22   192.09 198.96
2020-05-30   194.07 201.31   194.05 201.28   331.56 338.79   193.50 200.74   199.09 206.32   192.82 200.06
2020-05-31   194.81 202.41   194.78 202.38   332.29 339.89   194.24 201.84   199.82 207.42   193.55 201.15
2020-06-01   195.54 203.50   195.51 203.48   333.02 340.99   194.97 202.93   200.55 208.52   194.29 202.25
2020-06-02   196.27 204.60   196.24 204.57   333.76 342.09   195.70 204.03   201.28 209.62   195.02 203.35
2020-06-03   197.00 205.70   196.97 205.67   334.49 343.19   196.43 205.13   202.01 210.71   195.75 204.45
2020-06-04   197.73 206.80   197.70 206.77   335.21 344.28   197.16 206.23   202.74 211.81   196.48 205.55
2020-06-05   198.45 207.90   198.43 207.87   335.94 345.38   197.88 207.33   203.47 212.91   197.20 206.64
2020-06-06   199.18 208.99   199.15 208.97   336.67 346.48   198.61 208.42   204.19 214.01   197.93 207.74
2020-06-07   199.90 210.09   199.88 210.07   337.39 347.58   199.33 209.52   204.92 215.11   198.65 208.84
2020-06-08   200.81 211.01   200.78 210.99   338.29 348.50   200.24 210.44   205.82 216.03   199.56 209.76
2020-06-09   201.72 211.92   201.69 211.90   339.21 349.41   201.15 211.35   206.73 216.94   200.47 210.67
2020-06-10   202.63 212.83   202.60 212.81   340.12 350.32   202.06 212.26   207.65 217.85   201.38 211.58
2020-06-11   203.54 213.74   203.51 213.72   341.03 351.23   202.97 213.17   208.56 218.76   202.29 212.49
2020-06-12   204.45 214.65   204.43 214.63   341.94 352.14   203.88 214.08   209.47 219.67   203.20 213.40
2020-06-13   205.36 215.56   205.34 215.54   342.85 353.05   204.79 214.99   210.38 220.58   204.11 214.31
2020-06-14   206.27 216.47   206.25 216.45   343.76 353.96   205.70 215.90   211.29 221.49   205.02 215.22
2020-06-15   207.18 217.39   207.16 217.36   344.67 354.87   206.61 216.82   212.20 222.40   205.93 216.13
2020-06-16   208.10 218.30   208.07 218.27   345.58 355.78   207.53 217.73   213.11 223.31   206.84 217.04
2020-06-17   209.01 219.21   208.98 219.18   346.49 356.69   208.44 218.64   214.02 224.22   207.76 217.96
2020-06-18   209.92 220.12   209.89 220.09   347.40 357.61   209.35 219.55   214.93 225.13   208.67 218.87
2020-06-19   210.83 221.03   210.80 221.00   348.32 358.52   210.26 220.46   215.84 226.05   209.58 219.78
2020-06-20   211.74 221.94   211.71 221.92   349.23 359.43   211.17 221.37   216.75 226.96   210.49 220.69
2020-06-21   212.65 222.85   212.62 222.83   350.14   0.34   212.08 222.28   217.67 227.87   211.40 221.60
2020-06-22   213.56 223.77   213.54 223.74   351.05   1.26   212.99 223.20   218.58 228.78   212.31 222.52
2020-06-23   214.47 224.68   214.45 224.66   351.96   2.17   213.90 224.11   219.49 229.70   213.22 223.43
2020-06-24   215.39 225.60   215.36 225.57   352.87   3.08   214.82 225.03   220.40 230.61   214.14 224.35
2020-06-25   216.30 226.51   216.27 226.49   353.79   4.00   215.73 225.94   221.31 231.53   215.05 225.26
2020-06-26   217.21 227.43   217.19 227.40   354.70   4.92   216.64 226.86   222.23 232.44   215.96 226.18
2020-06-27   218.13 228.34   218.10 228.32   355.61   5.83   217.56 227.77   223.14 233.36   216.87 227.09
2020-06-28   219.04 229.26   219.01 229.24   356.53   6.75   218.47 228.69   224.06 234.28   217.79 228.01
2020-06-29   219.96 230.18   219.93 230.15   357.44   7.67   219.39 229.61   224.97 235.20   218.70 228.93
2020-06-30   220.87 231.10   220.84 231.07   358.36   8.59   220.30 230.53   225.89 236.12   219.62 229.85
2020-07-01   221.79 232.02   221.76 231.99   359.27   9.51   221.22 231.45   226.80 237.04   220.54 230.77
2020-07-02   222.70 232.94   222.68 232.92     0.19  10.43   222.13 232.37   227.72 237.96   221.45 231.69
2020-07-03   223.62 233.87   223.60 233.84     1.11  11.35   223.05 233.30   228.64 238.88   222.37 232.62
