
       Target
                ecliptic
RA      Dec     latitude
295.413  46.267  65.688

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-04-23      2020-11-21       212.00     256.67638      53.29001     295.41288      46.26658 
 2021-04-23      2021-11-21       211.91     256.86159      53.52978     295.41288      46.26658 
 2022-04-24      2022-11-21       211.00     256.32293      53.76052     295.41288      46.26658 
 2023-04-24      2023-11-22       212.00     256.58989      53.04984     295.41288      46.26658 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max

2020-04-24   253.10 260.07   253.08 260.04    30.59  37.56   252.53 259.50   258.12 265.09   251.85 258.82
2020-04-25   251.97 259.43   251.95 259.40    29.46  36.92   251.40 258.86   256.99 264.45   250.72 258.18
2020-04-26   250.85 258.79   250.82 258.77    28.33  36.28   250.28 258.22   255.86 263.81   249.59 257.54
2020-04-27   249.72 258.16   249.69 258.13    27.20  35.64   249.15 257.59   254.73 263.17   248.47 256.91
2020-04-28   248.59 257.52   248.56 257.50    26.08  35.01   248.02 256.95   253.60 262.54   247.34 256.27
2020-04-29   247.46 256.89   247.43 256.86    24.95  34.38   246.89 256.32   252.48 261.90   246.21 255.64
2020-04-30   246.33 256.26   246.31 256.23    23.82  33.75   245.76 255.69   251.35 261.27   245.08 255.01
2020-05-01   245.31 255.52   245.29 255.50    22.80  33.01   244.74 254.95   250.33 260.54   244.06 254.27
2020-05-02   244.44 254.64   244.41 254.62    21.92  32.13   243.87 254.07   249.45 259.66   243.19 253.39
2020-05-03   243.56 253.77   243.54 253.74    21.05  31.25   242.99 253.20   248.58 258.78   242.31 252.51
2020-05-04   242.69 252.89   242.66 252.86    20.17  30.38   242.12 252.32   247.70 257.90   241.44 251.64
2020-05-05   241.81 252.01   241.79 251.99    19.30  29.50   241.24 251.44   246.83 257.03   240.56 250.76
2020-05-06   240.94 251.14   240.91 251.11    18.42  28.62   240.37 250.57   245.95 256.15   239.69 249.89
2020-05-07   240.06 250.26   240.04 250.24    17.55  27.75   239.49 249.69   245.08 255.28   238.81 249.01
2020-05-08   239.19 249.39   239.16 249.36    16.68  26.88   238.62 248.82   244.20 254.40   237.94 248.14
2020-05-09   238.31 248.51   238.29 248.49    15.80  26.00   237.74 247.94   243.33 253.53   237.06 247.26
2020-05-10   237.44 247.64   237.41 247.61    14.93  25.13   236.87 247.07   242.45 252.66   236.19 246.39
2020-05-11   236.56 246.77   236.54 246.74    14.05  24.25   235.99 246.20   241.58 251.78   235.31 245.52
2020-05-12   235.69 245.89   235.66 245.87    13.17  23.38   235.12 245.32   240.70 250.91   234.44 244.64
2020-05-13   234.81 245.02   234.78 244.99    12.30  22.51   234.24 244.45   239.83 250.04   233.56 243.77
2020-05-14   233.93 244.15   233.91 244.12    11.42  21.63   233.36 243.58   238.95 249.16   232.68 242.90
2020-05-15   233.06 243.27   233.03 243.25    10.54  20.76   232.49 242.70   238.07 248.29   231.81 242.02
2020-05-16   232.18 242.40   232.15 242.37     9.67  19.89   231.61 241.83   237.19 247.41   230.93 241.15
2020-05-17   231.30 241.53   231.27 241.50     8.79  19.01   230.73 240.96   236.32 246.54   230.05 240.27
2020-05-18   230.42 240.65   230.39 240.62     7.91  18.14   229.85 240.08   235.44 245.67   229.17 239.40
2020-05-19   229.54 239.78   229.51 239.75     7.03  17.26   228.97 239.21   234.55 244.79   228.29 238.52
2020-05-20   228.66 238.90   228.63 238.87     6.14  16.39   228.09 238.33   233.67 243.91   227.41 237.65
2020-05-21   227.77 238.02   227.75 238.00     5.26  15.51   227.20 237.45   232.79 243.04   226.52 236.77
2020-05-22   226.89 237.15   226.86 237.12     4.38  14.63   226.32 236.58   231.90 242.16   225.64 235.89
2020-05-23   226.00 236.27   225.98 236.24     3.49  13.75   225.43 235.70   231.02 241.28   224.75 235.02
2020-05-24   225.12 235.39   225.09 235.36     2.60  12.87   224.55 234.82   230.13 240.40   223.87 234.14
2020-05-25   224.23 234.51   224.20 234.48     1.71  11.99   223.66 233.94   229.24 239.52   222.98 233.26
2020-05-26   223.34 233.62   223.31 233.60     0.82  11.11   222.77 233.05   228.35 238.64   222.09 232.37
2020-05-27   222.44 232.74   222.42 232.72   359.93  10.23   221.87 232.17   227.46 237.76   221.19 231.49
2020-05-28   221.55 231.86   221.52 231.83   359.04   9.34   220.98 231.29   226.57 236.87   220.30 230.61
2020-05-29   220.65 230.97   220.63 230.94   358.14   8.46   220.08 230.40   225.67 235.99   219.40 229.72
2020-05-30   219.76 230.08   219.73 230.06   357.24   7.57   219.19 229.51   224.77 235.10   218.51 228.83
2020-05-31   218.86 229.19   218.83 229.17   356.34   6.68   218.29 228.62   223.87 234.21   217.61 227.94
2020-06-01   217.95 228.30   217.93 228.28   355.44   5.79   217.38 227.73   222.97 233.32   216.70 227.05
2020-06-02   217.05 227.41   217.02 227.38   354.54   4.90   216.48 226.84   222.06 232.43   215.80 226.16
2020-06-03   216.14 226.52   216.12 226.49   353.63   4.00   215.57 225.95   221.16 231.53   214.89 225.27
2020-06-04   215.23 225.62   215.21 225.59   352.72   3.11   214.66 225.05   220.25 230.64   213.98 224.37
2020-06-05   214.32 224.72   214.30 224.69   351.81   2.21   213.75 224.15   219.34 229.74   213.07 223.47
2020-06-06   213.41 223.82   213.38 223.79   350.90   1.31   212.84 223.25   218.42 228.84   212.16 222.57
2020-06-07   212.49 222.92   212.47 222.89   349.98   0.41   211.92 222.35   217.51 227.93   211.24 221.67
2020-06-08   211.57 222.01   211.55 221.99   349.06 359.50   211.00 221.44   216.59 227.03   210.32 220.76
2020-06-09   210.65 221.10   210.63 221.08   348.14 358.59   210.08 220.53   215.67 226.12   209.40 219.85
2020-06-10   209.73 220.19   209.70 220.17   347.22 357.68   209.16 219.62   214.74 225.21   208.48 218.94
2020-06-11   208.80 219.28   208.77 219.26   346.29 356.77   208.23 218.71   213.82 224.30   207.55 218.03
2020-06-12   207.87 218.37   207.84 218.34   345.36 355.85   207.30 217.80   212.89 223.38   206.62 217.12
2020-06-13   206.94 217.45   206.91 217.42   344.43 354.94   206.37 216.88   211.95 222.46   205.69 216.20
2020-06-14   206.00 216.53   205.98 216.50   343.49 354.02   205.43 215.96   211.02 221.54   204.75 215.28
2020-06-15   205.06 215.61   205.04 215.58   342.55 353.09   204.49 215.04   210.08 220.62   203.81 214.36
2020-06-16   204.12 214.68   204.10 214.65   341.61 352.17   203.55 214.11   209.14 219.70   202.87 213.43
2020-06-17   203.18 213.75   203.15 213.73   340.66 351.24   202.61 213.18   208.19 218.77   201.93 212.50
2020-06-18   202.23 212.82   202.20 212.79   339.72 350.31   201.66 212.25   207.24 217.84   200.98 211.57
2020-06-19   201.28 211.89   201.25 211.86   338.77 349.37   200.71 211.32   206.29 216.90   200.03 210.63
2020-06-20   200.32 210.95   200.30 210.92   337.81 348.44   199.75 210.38   205.34 215.96   199.07 209.70
2020-06-21   199.37 210.01   199.34 209.98   336.85 347.49   198.80 209.44   204.38 215.02   198.12 208.76
2020-06-22   198.41 209.06   198.38 209.04   335.89 346.55   197.84 208.49   203.42 214.08   197.16 207.81
2020-06-23   197.44 208.12   197.42 208.09   334.93 345.60   196.87 207.55   202.46 213.13   196.19 206.87
2020-06-24   196.48 207.17   196.45 207.14   333.96 344.65   195.91 206.60   201.49 212.18   195.23 205.92
2020-06-25   195.51 206.21   195.48 206.19   332.99 343.70   194.94 205.64   200.52 211.23   194.25 204.96
2020-06-26   194.53 205.26   194.51 205.23   332.02 342.74   193.96 204.69   199.55 210.27   193.28 204.01
2020-06-27   193.56 204.30   193.53 204.27   331.04 341.78   192.99 203.73   198.57 209.31   192.30 203.05
2020-06-28   192.58 203.33   192.55 203.31   330.06 340.82   192.01 202.76   197.59 208.35   191.32 202.08
2020-06-29   191.59 202.37   191.57 202.34   329.08 339.85   191.02 201.80   196.61 207.38   190.34 201.12
2020-06-30   190.61 201.40   190.58 201.37   328.09 338.89   190.04 200.83   195.62 206.41   189.35 200.15
2020-07-01   189.62 200.42   189.59 200.40   327.10 337.91   189.05 199.85   194.63 205.44   188.37 199.17
2020-07-02   188.62 199.45   188.60 199.42   326.11 336.94   188.05 198.88   193.64 204.46   187.37 198.20
2020-07-03   187.63 198.47   187.60 198.44   325.11 335.96   187.06 197.90   192.64 203.48   186.38 197.22
2020-07-04   186.63 197.49   186.60 197.46   324.11 334.97   186.06 196.92   191.64 202.50   185.38 196.24
