
       Target
                ecliptic
RA      Dec     latitude
 48.286 293.282 -73.768

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-05-11      2020-12-20       223.00     180.38993      36.81064      48.28592     293.28223 
 2021-05-12      2021-12-20       222.10     181.05912      36.68167      48.28592     293.28223 
 2022-05-12      2022-12-21       223.00     180.81063      37.36856      48.28592     293.28223 
 2023-05-12      2023-12-21       223.00     180.56338      37.16959      48.28592     293.28223 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max

2020-05-12   177.04 183.93   177.01 183.90   314.53 321.41   176.47 183.36   182.05 188.94   175.79 182.68
2020-05-13   177.81 185.01   177.78 184.99   315.30 322.50   177.24 184.44   182.82 190.03   176.56 183.76
2020-05-14   178.58 186.10   178.55 186.08   316.07 323.59   178.01 185.53   183.59 191.12   177.33 184.85
2020-05-15   179.35 187.19   179.32 187.16   316.83 324.68   178.78 186.62   184.36 192.20   178.10 185.94
2020-05-16   180.11 188.28   180.09 188.25   317.60 325.76   179.54 187.71   185.13 193.29   178.86 187.02
2020-05-17   180.88 189.36   180.85 189.34   318.37 326.85   180.31 188.79   185.89 194.38   179.63 188.11
2020-05-18   181.64 190.45   181.62 190.42   319.13 327.94   181.07 189.88   186.66 195.46   180.39 189.20
2020-05-19   182.40 191.54   182.38 191.51   319.89 329.02   181.83 190.97   187.42 196.55   181.15 190.29
2020-05-20   183.17 192.62   183.14 192.60   320.65 330.11   182.60 192.05   188.18 197.64   181.92 191.37
2020-05-21   183.93 193.71   183.90 193.68   321.41 331.20   183.36 193.14   188.94 198.72   182.68 192.46
2020-05-22   184.69 194.80   184.66 194.77   322.17 332.28   184.12 194.23   189.70 199.81   183.43 193.55
2020-05-23   185.56 195.77   185.53 195.74   323.05 333.26   184.99 195.20   190.57 200.78   184.31 194.52
2020-05-24   186.48 196.69   186.46 196.66   323.97 334.18   185.91 196.12   191.50 201.70   185.23 195.44
2020-05-25   187.41 197.61   187.38 197.58   324.89 335.10   186.84 197.04   192.42 202.63   186.15 196.36
2020-05-26   188.33 198.53   188.30 198.50   325.81 336.02   187.76 197.96   193.34 203.55   187.08 197.28
2020-05-27   189.25 199.45   189.22 199.43   326.74 336.94   188.68 198.88   194.26 204.47   188.00 198.20
2020-05-28   190.17 200.37   190.14 200.35   327.66 337.86   189.60 199.80   195.19 205.39   188.92 199.12
2020-05-29   191.09 201.29   191.07 201.27   328.58 338.78   190.52 200.72   196.11 206.31   189.84 200.04
2020-05-30   192.01 202.21   191.99 202.19   329.50 339.70   191.44 201.64   197.03 207.23   190.76 200.96
2020-05-31   192.93 203.13   192.91 203.11   330.42 340.62   192.36 202.56   197.95 208.15   191.68 201.88
2020-06-01   193.85 204.05   193.83 204.03   331.34 341.54   193.28 203.48   198.87 209.07   192.60 202.80
2020-06-02   194.78 204.98   194.75 204.95   332.26 342.46   194.21 204.41   199.79 209.99   193.52 203.73
2020-06-03   195.70 205.90   195.67 205.87   333.18 343.38   195.13 205.33   200.71 210.91   194.45 204.65
2020-06-04   196.62 206.82   196.59 206.79   334.10 344.31   196.05 206.25   201.63 211.83   195.37 205.57
2020-06-05   197.54 207.74   197.51 207.71   335.03 345.23   196.97 207.17   202.55 212.75   196.29 206.49
2020-06-06   198.46 208.66   198.43 208.64   335.95 346.15   197.89 208.09   203.47 213.68   197.21 207.41
2020-06-07   199.38 209.58   199.35 209.56   336.87 347.07   198.81 209.01   204.39 214.60   198.13 208.33
2020-06-08   200.30 210.51   200.27 210.48   337.79 347.99   199.73 209.94   205.32 215.52   199.05 209.26
2020-06-09   201.22 211.43   201.20 211.40   338.71 348.92   200.65 210.86   206.24 216.45   199.97 210.18
2020-06-10   202.14 212.35   202.12 212.33   339.63 349.84   201.57 211.78   207.16 217.37   200.89 211.10
2020-06-11   203.07 213.28   203.04 213.25   340.55 350.77   202.50 212.71   208.08 218.29   201.82 212.03
2020-06-12   203.99 214.20   203.96 214.18   341.48 351.69   203.42 213.63   209.00 219.22   202.74 212.95
2020-06-13   204.91 215.13   204.89 215.10   342.40 352.62   204.34 214.56   209.93 220.14   203.66 213.88
2020-06-14   205.84 216.05   205.81 216.03   343.32 353.54   205.27 215.48   210.85 221.07   204.58 214.80
2020-06-15   206.76 216.98   206.73 216.95   344.25 354.47   206.19 216.41   211.77 222.00   205.51 215.73
2020-06-16   207.68 217.91   207.66 217.88   345.17 355.40   207.11 217.34   212.70 222.92   206.43 216.66
2020-06-17   208.61 218.84   208.58 218.81   346.10 356.32   208.04 218.27   213.62 223.85   207.36 217.59
2020-06-18   209.53 219.77   209.51 219.74   347.02 357.25   208.96 219.20   214.55 224.78   208.28 218.52
2020-06-19   210.46 220.70   210.43 220.67   347.95 358.18   209.89 220.13   215.48 225.71   209.21 219.45
2020-06-20   211.39 221.63   211.36 221.60   348.88 359.12   210.82 221.06   216.40 226.64   210.14 220.38
2020-06-21   212.32 222.56   212.29 222.53   349.80   0.05   211.75 221.99   217.33 227.57   211.07 221.31
2020-06-22   213.25 223.49   213.22 223.47   350.73   0.98   212.68 222.92   218.26 228.51   211.99 222.24
2020-06-23   214.17 224.43   214.15 224.40   351.66   1.91   213.60 223.86   219.19 229.44   212.92 223.18
2020-06-24   215.11 225.36   215.08 225.34   352.59   2.85   214.54 224.79   220.12 230.38   213.85 224.11
2020-06-25   216.04 226.30   216.01 226.27   353.52   3.79   215.47 225.73   221.05 231.31   214.79 225.05
2020-06-26   216.97 227.24   216.94 227.21   354.46   4.72   216.40 226.67   221.98 232.25   215.72 225.98
2020-06-27   217.90 228.17   217.88 228.15   355.39   5.66   217.33 227.60   222.92 233.19   216.65 226.92
2020-06-28   218.84 229.11   218.81 229.09   356.32   6.60   218.27 228.54   223.85 234.13   217.59 227.86
2020-06-29   219.77 230.05   219.75 230.03   357.26   7.54   219.20 229.48   224.79 235.07   218.52 228.80
2020-06-30   220.71 231.00   220.68 230.97   358.20   8.48   220.14 230.43   225.72 236.01   219.46 229.75
2020-07-01   221.65 231.94   221.62 231.91   359.13   9.43   221.08 231.37   226.66 236.96   220.40 230.69
2020-07-02   222.59 232.88   222.56 232.86     0.07  10.37   222.02 232.31   227.60 237.90   221.33 231.63
2020-07-03   223.53 233.83   223.50 233.80     1.01  11.32   222.96 233.26   228.54 238.85   222.27 232.58
2020-07-04   224.47 234.78   224.44 234.75     1.95  12.26   223.90 234.21   229.48 239.79   223.22 233.53
2020-07-05   225.41 235.73   225.38 235.70     2.90  13.21   224.84 235.16   230.42 240.74   224.16 234.48
2020-07-06   226.35 236.68   226.33 236.65     3.84  14.16   225.78 236.11   231.37 241.69   225.10 235.43
2020-07-07   227.30 237.63   227.27 237.60     4.78  15.11   226.73 237.06   232.31 242.64   226.05 236.38
2020-07-08   228.24 238.58   228.22 238.55     5.73  16.07   227.67 238.01   233.26 243.59   226.99 237.33
2020-07-09   229.19 239.53   229.16 239.51     6.68  17.02   228.62 238.96   234.21 244.55   227.94 238.28
2020-07-10   230.14 240.49   230.11 240.46     7.63  17.98   229.57 239.92   235.15 245.50   228.89 239.24
2020-07-11   231.09 241.45   231.06 241.42     8.58  18.93   230.52 240.88   236.10 246.46   229.84 240.20
2020-07-12   232.04 242.40   232.01 242.38     9.53  19.89   231.47 241.83   237.06 247.42   230.79 241.15
2020-07-13   232.99 243.36   232.97 243.34    10.48  20.85   232.42 242.79   238.01 248.38   231.74 242.11
2020-07-14   233.95 244.32   233.92 244.30    11.43  21.81   233.38 243.75   238.96 249.34   232.70 243.07
2020-07-15   234.90 245.29   234.88 245.26    12.39  22.77   234.33 244.72   239.92 250.30   233.65 244.04
2020-07-16   235.86 246.25   235.83 246.22    13.35  23.74   235.29 245.68   240.87 251.27   234.61 245.00
2020-07-17   236.82 247.22   236.79 247.19    14.31  24.70   236.25 246.65   241.83 252.23   235.57 245.96
2020-07-18   237.78 248.18   237.75 248.16    15.26  25.67   237.21 247.61   242.79 253.20   236.53 246.93
2020-07-19   238.74 249.15   238.71 249.12    16.23  26.64   238.17 248.58   243.75 254.17   237.49 247.90
2020-07-20   239.70 250.12   239.67 250.09    17.19  27.61   239.13 249.55   244.72 255.13   238.45 248.87
2020-07-21   240.66 251.09   240.64 251.06    18.15  28.58   240.09 250.52   245.68 256.11   239.41 249.84
2020-07-22   241.63 252.06   241.60 252.04    19.12  29.55   241.06 251.49   246.64 257.08   240.38 250.81
2020-07-23   242.60 253.04   242.57 253.01    20.08  30.52   242.03 252.47   247.61 258.05   241.34 251.79
