
       Target
                ecliptic
RA      Dec     latitude
 23.521 -14.419 -22.471

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-01-01      2020-01-12        11.90      64.19749      68.87815      23.52145     -14.41915 
 2020-07-02      2020-08-28        57.00     244.90302     271.18254      23.52145     -14.41915 
 2020-11-18      2021-01-11        54.05      42.63840      68.81068      23.52145     -14.41915 
 2021-07-02      2021-08-29        58.00     244.83744     271.70586      23.52145     -14.41915 
 2021-11-18      2022-01-12        55.00      42.41565      69.10472      23.52145     -14.41915 
 2022-07-02      2022-08-29        58.00     244.77429     271.48271      23.52145     -14.41915 
 2022-11-19      2023-01-12        54.00      42.95438      69.02666      23.52145     -14.41915 
 2023-07-02      2023-08-29        57.97     244.71525     271.25147      23.52145     -14.41915 
 2023-11-19      2023-12-31        41.10      42.74428      63.83760      23.52145     -14.41915 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max
2020-01-01    59.07  69.33    59.04  69.30   196.56 206.81    58.50  68.76    64.08  74.34    57.82  68.07
2020-01-02    59.47  69.71    59.45  69.69   196.96 207.20    58.90  69.14    64.49  74.73    58.22  68.46
2020-01-03    59.87  70.10    59.85  70.07   197.36 207.59    59.30  69.53    64.89  75.11    58.62  68.85
2020-01-04    60.27  70.49    60.24  70.46   197.76 207.97    59.70  69.92    65.29  75.50    59.02  69.24
2020-01-05    60.67  70.87    60.64  70.85   198.16 208.36    60.10  70.30    65.68  75.89    59.42  69.62
2020-01-06    61.06  71.26    61.04  71.24   198.55 208.75    60.49  70.69    66.08  76.28    59.81  70.01
2020-01-07    61.46  71.66    61.43  71.63   198.94 209.14    60.89  71.09    66.47  76.67    60.20  70.40
2020-01-08    61.85  72.05    61.82  72.02   199.33 209.54    61.28  71.48    66.86  77.06    60.60  70.80
2020-01-09    62.24  72.44    62.21  72.42   199.73 209.93    61.67  71.87    67.25  77.46    60.99  71.19
2020-01-10    62.69  72.78    62.66  72.75   200.18 210.26    62.12  72.21    67.70  77.79    61.44  71.53
2020-01-11    63.68  72.57    63.65  72.55   201.17 210.06    63.11  72.00    68.69  77.59    62.43  71.32
2020-01-12    64.67  72.37    64.64  72.35   202.16 209.86    64.10  71.80    69.69  77.39    63.42  71.12

2020-07-03   241.15 248.73   241.13 248.70    18.64  26.21   240.58 248.16   246.17 253.74   239.90 247.48
2020-07-04   240.97 249.65   240.94 249.63    18.46  27.14   240.40 249.08   245.98 254.67   239.72 248.40
2020-07-05   240.78 250.58   240.76 250.55    18.27  28.07   240.21 250.01   245.80 255.60   239.53 249.33
2020-07-06   240.95 251.15   240.92 251.13    18.44  28.64   240.38 250.58   245.96 256.17   239.70 249.90
2020-07-07   241.32 251.52   241.29 251.49    18.81  29.01   240.75 250.95   246.33 256.54   240.07 250.27
2020-07-08   241.69 251.89   241.66 251.86    19.18  29.38   241.12 251.32   246.70 256.90   240.44 250.64
2020-07-09   242.06 252.26   242.03 252.23    19.55  29.75   241.49 251.69   247.07 257.27   240.81 251.01
2020-07-10   242.43 252.63   242.40 252.60    19.91  30.12   241.86 252.06   247.44 257.64   241.17 251.38
2020-07-11   242.79 253.00   242.77 252.98    20.28  30.49   242.22 252.43   247.81 258.02   241.54 251.75
2020-07-12   243.16 253.38   243.13 253.35    20.64  30.86   242.59 252.81   248.17 258.39   241.91 252.12
2020-07-13   243.52 253.75   243.50 253.72    21.01  31.24   242.95 253.18   248.54 258.77   242.27 252.50
2020-07-14   243.89 254.13   243.86 254.10    21.37  31.62   243.32 253.56   248.90 259.14   242.64 252.88
2020-07-15   244.25 254.51   244.22 254.48    21.74  32.00   243.68 253.94   249.27 259.52   243.00 253.26
2020-07-16   244.62 254.89   244.59 254.87    22.10  32.38   244.05 254.32   249.63 259.91   243.36 253.64
2020-07-17   244.98 255.28   244.95 255.25    22.47  32.76   244.41 254.71   249.99 260.29   243.73 254.03
2020-07-18   245.34 255.66   245.32 255.64    22.83  33.15   244.77 255.09   250.36 260.68   244.09 254.41
2020-07-19   245.71 256.06   245.68 256.03    23.20  33.54   245.14 255.49   250.72 261.07   244.46 254.80
2020-07-20   246.07 256.45   246.05 256.42    23.56  33.94   245.50 255.88   251.09 261.46   244.82 255.20
2020-07-21   246.44 256.85   246.41 256.82    23.93  34.33   245.87 256.28   251.46 261.86   245.19 255.60
2020-07-22   246.81 257.25   246.78 257.22    24.30  34.74   246.24 256.68   251.82 262.26   245.56 256.00
2020-07-23   247.18 257.65   247.15 257.63    24.66  35.14   246.61 257.08   252.19 262.67   245.93 256.40
2020-07-24   247.55 258.06   247.52 258.04    25.03  35.55   246.98 257.49   252.56 263.08   246.29 256.81
2020-07-25   247.92 258.48   247.89 258.45    25.40  35.96   247.35 257.91   252.93 263.49   246.67 257.23
2020-07-26   248.29 258.89   248.26 258.87    25.78  36.38   247.72 258.32   253.30 263.91   247.04 257.64
2020-07-27   248.66 259.32   248.64 259.29    26.15  36.80   248.09 258.75   253.68 264.33   247.41 258.07
2020-07-28   249.04 259.75   249.01 259.72    26.53  37.23   248.47 259.18   254.06 264.76   247.79 258.49
2020-07-29   249.42 260.18   249.39 260.15    26.91  37.67   248.85 259.61   254.44 265.19   248.17 258.93
2020-07-30   249.80 260.62   249.78 260.59    27.29  38.11   249.23 260.05   254.82 265.63   248.55 259.37
2020-07-31   250.19 261.06   250.16 261.04    27.67  38.55   249.62 260.49   255.20 266.08   248.94 259.81
2020-08-01   250.58 261.51   250.55 261.49    28.06  39.00   250.01 260.94   255.59 266.53   249.32 260.26
2020-08-02   250.97 261.97   250.94 261.95    28.45  39.46   250.40 261.40   255.98 266.99   249.72 260.72
2020-08-03   251.36 262.44   251.33 262.41    28.85  39.93   250.79 261.87   256.38 267.45   250.11 261.19
2020-08-04   251.76 262.91   251.73 262.88    29.25  40.40   251.19 262.34   256.77 267.93   250.51 261.66
2020-08-05   252.16 263.39   252.14 263.36    29.65  40.88   251.59 262.82   257.18 268.41   250.91 262.14
2020-08-06   252.57 263.88   252.54 263.85    30.06  41.37   252.00 263.31   257.58 268.89   251.32 262.63
2020-08-07   252.98 264.37   252.95 264.35    30.47  41.86   252.41 263.80   258.00 269.39   251.73 263.12
2020-08-08   253.40 264.88   253.37 264.85    30.88  42.37   252.83 264.31   258.41 269.89   252.15 263.63
2020-08-09   253.82 265.39   253.79 265.37    31.31  42.88   253.25 264.82   258.83 270.41   252.57 264.14
2020-08-10   254.25 265.92   254.22 265.89    31.73  43.41   253.68 265.35   259.26 270.93   253.00 264.67
2020-08-11   254.68 266.45   254.65 266.43    32.17  43.94   254.11 265.88   259.69 271.47   253.43 265.20
2020-08-12   255.12 267.00   255.09 266.97    32.61  44.48   254.55 266.43   260.13 272.01   253.87 265.75
2020-08-13   255.57 267.55   255.54 267.53    33.05  45.04   255.00 266.98   260.58 272.57   254.31 266.30
2020-08-14   256.02 268.12   255.99 268.09    33.51  45.61   255.45 267.55   261.03 273.14   254.77 266.87
2020-08-15   256.48 268.70   256.45 268.67    33.97  46.19   255.91 268.13   261.50 273.72   255.23 267.45
2020-08-16   256.95 269.29   256.92 269.27    34.44  46.78   256.38 268.72   261.96 274.31   255.70 268.04
2020-08-17   257.43 269.90   257.40 269.87    34.91  47.39   256.86 269.33   262.44 274.91   256.18 268.65
2020-08-18   257.91 270.52   257.89 270.49    35.40  48.01   257.34 269.95   262.93 275.53   256.66 269.27
2020-08-19   258.41 271.15   258.38 271.13    35.90  48.64   257.84 270.58   263.42 276.17   257.16 269.90
2020-08-20   258.91 271.80   258.89 271.78    36.40  49.29   258.34 271.23   263.93 276.82   257.66 270.55
2020-08-21   259.43 272.47   259.40 272.45    36.92  49.96   258.86 271.90   264.45 277.49   258.18 271.22
2020-08-22   259.96 273.16   259.93 273.13    37.45  50.64   259.39 272.59   264.97 278.17   258.71 271.90
2020-08-23   260.50 273.86   260.47 273.83    37.98  51.34   259.93 273.29   265.51 278.87   259.25 272.61
2020-08-24   261.05 274.58   261.02 274.55    38.54  52.06   260.48 274.01   266.06 279.59   259.80 273.33
2020-08-25   261.61 275.32   261.59 275.29    39.10  52.80   261.04 274.75   266.63 280.33   260.36 274.07
2020-08-26   262.19 276.08   262.16 276.05    39.68  53.57   261.62 275.51   267.21 281.09   260.94 274.83
2020-08-27   262.78 276.86   262.76 276.83    40.27  54.35   262.21 276.29   267.80 281.88   261.53 275.61
2020-08-28   263.39 277.67   263.37 277.64    40.88  55.15   262.82 277.10   268.41 282.68   262.14 276.41

2020-11-19    35.53  49.89    35.51  49.87   173.02 187.38    34.96  49.32    40.55  54.91    34.28  48.64
2020-11-20    36.38  50.53    36.36  50.51   173.87 188.02    35.81  49.96    41.40  55.55    35.13  49.28
2020-11-21    37.20  51.16    37.18  51.13   174.69 188.64    36.63  50.59    42.22  56.17    35.95  49.91
2020-11-22    38.00  51.76    37.98  51.74   175.49 189.25    37.43  51.19    43.02  56.78    36.75  50.51
2020-11-23    38.78  52.36    38.76  52.33   176.27 189.84    38.21  51.79    43.80  57.37    37.53  51.11
2020-11-24    39.54  52.93    39.51  52.91   177.03 190.42    38.97  52.36    44.55  57.95    38.29  51.68
2020-11-25    40.27  53.50    40.25  53.47   177.76 190.99    39.70  52.93    45.29  58.51    39.02  52.25
2020-11-26    40.99  54.05    40.97  54.03   178.48 191.54    40.42  53.48    46.01  59.07    39.74  52.80
