
       Target
                ecliptic
RA      Dec     latitude
 24.168 -50.659 -54.371

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-06-04      2020-12-23       201.94     224.17807      58.67855      24.16787     -50.65931 
 2021-06-05      2021-12-24       202.00     224.73597      59.32776      24.16787     -50.65931 
 2022-06-05      2022-12-24       202.00     224.56815      59.14695      24.16787     -50.65931 
 2023-06-05      2023-12-24       202.00     224.40143      58.97805      24.16787     -50.65931 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max

2020-06-05   220.79 227.63   220.76 227.61   358.27   5.12   220.22 227.06   225.80 232.65   219.54 226.38
2020-06-06   221.23 228.76   221.20 228.74   358.72   6.25   220.66 228.19   226.24 233.78   219.98 227.51
2020-06-07   221.67 229.89   221.64 229.87   359.16   7.38   221.10 229.32   226.68 234.91   220.42 228.64
2020-06-08   222.11 231.02   222.08 231.00   359.59   8.51   221.54 230.45   227.12 236.04   220.86 229.77
2020-06-09   222.54 232.16   222.52 232.13     0.03   9.64   221.97 231.59   227.56 237.17   221.29 230.90
2020-06-10   223.03 233.24   223.00 233.21     0.52  10.72   222.46 232.67   228.04 238.25   221.78 231.99
2020-06-11   223.81 234.02   223.79 233.99     1.30  11.50   223.24 233.45   228.83 239.03   222.56 232.77
2020-06-12   224.59 234.80   224.57 234.77     2.08  12.28   224.02 234.23   229.61 239.81   223.34 233.55
2020-06-13   225.38 235.58   225.35 235.55     2.86  13.07   224.81 235.01   230.39 240.59   224.13 234.33
2020-06-14   226.16 236.36   226.13 236.33     3.65  13.85   225.59 235.79   231.17 241.37   224.91 235.11
2020-06-15   226.94 237.14   226.91 237.11     4.43  14.63   226.37 236.57   231.96 242.16   225.69 235.89
2020-06-16   227.72 237.92   227.70 237.90     5.21  15.41   227.15 237.35   232.74 242.94   226.47 236.67
2020-06-17   228.50 238.71   228.48 238.68     5.99  16.19   227.93 238.14   233.52 243.72   227.25 237.46
2020-06-18   229.28 239.49   229.26 239.46     6.77  16.98   228.71 238.92   234.30 244.51   228.03 238.24
2020-06-19   230.06 240.27   230.04 240.25     7.55  17.76   229.49 239.70   235.08 245.29   228.81 239.02
2020-06-20   230.85 241.06   230.82 241.03     8.33  18.55   230.28 240.49   235.86 246.08   229.60 239.81
2020-06-21   231.63 241.85   231.60 241.82     9.12  19.34   231.06 241.28   236.64 246.86   230.38 240.60
2020-06-22   232.41 242.64   232.38 242.61     9.90  20.13   231.84 242.07   237.43 247.65   231.16 241.39
2020-06-23   233.19 243.43   233.17 243.40    10.68  20.92   232.62 242.86   238.21 248.44   231.94 242.18
2020-06-24   233.98 244.22   233.95 244.20    11.46  21.71   233.41 243.65   238.99 249.24   232.73 242.97
2020-06-25   234.76 245.02   234.74 244.99    12.25  22.50   234.19 244.45   239.78 250.03   233.51 243.77
2020-06-26   235.55 245.81   235.52 245.79    13.04  23.30   234.98 245.24   240.56 250.83   234.30 244.56
2020-06-27   236.34 246.61   236.31 246.59    13.82  24.10   235.77 246.04   241.35 251.63   235.09 245.36
2020-06-28   237.13 247.42   237.10 247.39    14.61  24.90   236.56 246.85   242.14 252.43   235.88 246.16
