
       Target
                ecliptic
RA      Dec     latitude
166.430  -5.079 -10.032

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-01-01      2020-01-26        25.90     296.83061     303.69802     166.42963      -5.07949 
 2020-04-23      2020-06-16        54.00     103.15078     114.14963     166.42963      -5.07949 
 2020-12-06      2021-01-25        50.00     292.28667     303.61028     166.42963      -5.07949 
 2021-04-24      2021-06-16        53.00     103.37649     114.09255     166.42963      -5.07949 
 2021-12-06      2022-01-25        50.00     292.26239     303.51617     166.42963      -5.07949 
 2022-04-24      2022-06-16        53.00     103.27492     114.03938     166.42963      -5.07949 
 2022-12-06      2023-01-25        49.95     292.24960     303.41747     166.42963      -5.07949 
 2023-04-24      2023-06-16        53.00     103.16744     113.98906     166.42963      -5.07949 
 2023-12-07      2023-12-31        23.10     292.40100     296.70269     166.42963      -5.07949 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max
2020-01-01   291.41 302.25   291.39 302.22    68.90  79.74   290.84 301.68   296.43 307.26   290.16 301.00
2020-01-02   291.58 302.49   291.56 302.46    69.07  79.98   291.01 301.92   296.60 307.51   290.33 301.24
2020-01-03   291.75 302.74   291.73 302.71    69.24  80.22   291.18 302.17   296.77 307.75   290.50 301.49
2020-01-04   291.93 302.99   291.90 302.96    69.41  80.48   291.36 302.42   296.94 308.00   290.68 301.74
2020-01-05   292.10 303.25   292.07 303.22    69.59  80.73   291.53 302.68   297.11 308.26   290.85 302.00
2020-01-06   292.27 303.51   292.25 303.48    69.76  81.00   291.70 302.94   297.29 308.52   291.02 302.26
2020-01-07   292.45 303.78   292.42 303.75    69.93  81.26   291.88 303.21   297.46 308.79   291.20 302.53
2020-01-08   292.62 304.05   292.60 304.03    70.11  81.54   292.05 303.48   297.64 309.07   291.37 302.80
2020-01-09   292.80 304.33   292.77 304.31    70.29  81.82   292.23 303.76   297.81 309.35   291.55 303.08
2020-01-10   292.98 304.62   292.95 304.60    70.47  82.11   292.41 304.05   297.99 309.64   291.73 303.37
2020-01-11   293.16 304.92   293.13 304.89    70.65  82.41   292.59 304.35   298.17 309.93   291.91 303.67
2020-01-12   293.34 305.22   293.31 305.20    70.83  82.71   292.77 304.65   298.35 310.24   292.09 303.97
2020-01-13   293.52 305.53   293.50 305.51    71.01  83.02   292.95 304.96   298.54 310.55   292.27 304.28
2020-01-14   293.71 305.85   293.68 305.83    71.20  83.34   293.14 305.28   298.72 310.87   292.46 304.60
2020-01-15   293.90 306.18   293.87 306.16    71.38  83.67   293.33 305.61   298.91 311.20   292.64 304.93
2020-01-16   294.09 306.52   294.06 306.50    71.57  84.01   293.52 305.95   299.10 311.54   292.83 305.27
2020-01-17   294.28 306.87   294.25 306.84    71.77  84.36   293.71 306.30   299.29 311.89   293.03 305.62
2020-01-18   294.47 307.23   294.45 307.20    71.96  84.72   293.90 306.66   299.49 312.25   293.22 305.98
