
       Target
                ecliptic
RA      Dec     latitude
188.386 -10.146  -5.999

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-01-01      2020-02-16        46.90     293.15362     299.49282     188.38643     -10.14621 
 2020-05-17      2020-07-09        53.00     107.45796     113.85162     188.38643     -10.14621 
 2020-12-28      2021-02-15        49.00     292.91483     299.41511     188.38643     -10.14621 
 2021-05-17      2021-07-09        53.00     107.38543     113.82358     188.38643     -10.14621 
 2021-12-28      2022-02-15        49.00     292.90523     299.33462     188.38643     -10.14621 
 2022-05-17      2022-07-09        52.99     107.31469     113.80090     188.38643     -10.14621 
 2022-12-28      2023-02-16        50.00     292.89272     299.46005     188.38643     -10.14621 
 2023-05-18      2023-07-09        52.00     107.43019     113.78292     188.38643     -10.14621 
 2023-12-28      2023-12-31         2.10     292.87553     293.10119     188.38643     -10.14621 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max
2020-01-01   288.05 298.26   288.02 298.23    65.54  75.74   287.48 297.69   293.07 303.27   286.80 297.01
2020-01-02   288.16 298.36   288.14 298.34    65.65  75.85   287.59 297.79   293.18 303.38   286.91 297.11
2020-01-03   288.27 298.47   288.25 298.45    65.76  75.96   287.70 297.90   293.29 303.49   287.02 297.22
2020-01-04   288.38 298.58   288.36 298.56    65.87  76.07   287.81 298.01   293.40 303.60   287.13 297.33
2020-01-05   288.49 298.69   288.46 298.67    65.98  76.18   287.92 298.12   293.50 303.71   287.24 297.44
2020-01-06   288.59 298.81   288.57 298.78    66.08  76.30   288.02 298.24   293.61 303.82   287.34 297.56
2020-01-07   288.70 298.92   288.67 298.90    66.19  76.41   288.13 298.35   293.71 303.94   287.45 297.67
2020-01-08   288.80 299.04   288.77 299.01    66.29  76.53   288.23 298.47   293.82 304.06   287.55 297.79
2020-01-09   288.90 299.16   288.88 299.13    66.39  76.65   288.33 298.59   293.92 304.17   287.65 297.91
2020-01-10   289.00 299.28   288.98 299.25    66.49  76.77   288.43 298.71   294.02 304.30   287.75 298.03
2020-01-11   289.10 299.40   289.07 299.38    66.59  76.89   288.53 298.83   294.12 304.42   287.85 298.15
2020-01-12   289.20 299.53   289.17 299.50    66.68  77.02   288.63 298.96   294.21 304.54   287.95 298.28
