
       Target
                ecliptic
RA      Dec     latitude
203.106 -42.475 -30.292

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-01-23      2020-03-23        60.00     292.56796     331.16403     203.10602     -42.47527 
 2020-06-03      2020-08-06        63.95      79.32208     118.34321     203.10602     -42.47527 
 2021-01-22      2021-03-23        60.00     292.45439     330.85250     203.10602     -42.47527 
 2021-06-04      2021-08-06        63.00      79.97072     118.24408     203.10602     -42.47527 
 2022-01-22      2022-03-23        60.03     292.33453     330.56432     203.10602     -42.47527 
 2022-06-04      2022-08-06        63.00      79.73223     118.14738     203.10602     -42.47527 
 2023-01-22      2023-03-24        61.00     292.21092     331.21540     203.10602     -42.47527 
 2023-06-04      2023-08-07        64.00      79.49504     118.53710     203.10602     -42.47527 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max

2020-01-24   288.68 296.56   288.65 296.54    66.16  74.05   288.11 295.99   293.69 301.58   287.43 295.31
2020-01-25   288.64 297.64   288.61 297.61    66.13  75.13   288.07 297.07   293.66 302.65   287.39 296.39
2020-01-26   288.60 298.71   288.58 298.69    66.09  76.20   288.03 298.14   293.62 303.73   287.35 297.46
2020-01-27   289.07 299.28   289.05 299.25    66.56  76.76   288.50 298.71   294.09 304.29   287.82 298.03
2020-01-28   289.59 299.79   289.56 299.76    67.08  77.28   289.02 299.22   294.61 304.81   288.34 298.54
2020-01-29   290.11 300.31   290.08 300.28    67.59  77.79   289.54 299.74   295.12 305.32   288.86 299.06
2020-01-30   290.62 300.82   290.60 300.80    68.11  78.31   290.05 300.25   295.64 305.84   289.37 299.57
2020-01-31   291.14 301.34   291.11 301.31    68.62  78.83   290.57 300.77   296.15 306.36   289.88 300.09
2020-02-01   291.65 301.86   291.62 301.83    69.13  79.35   291.08 301.29   296.66 306.87   290.40 300.61
2020-02-02   292.16 302.38   292.13 302.35    69.65  79.87   291.59 301.81   297.17 307.39   290.91 301.13
