
       Target
                ecliptic
RA      Dec     latitude
 49.562 -41.302 -56.409

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-01-01      2020-01-28        27.90      46.41156      70.51427      49.56217     -41.30202 
 2020-07-11      2021-01-27       200.00     235.08914      70.33256      49.56217     -41.30202 
 2021-07-11      2022-01-27       200.00     234.92746      70.14583      49.56217     -41.30202 
 2022-07-11      2023-01-27       200.06     234.77264      70.01019      49.56217     -41.30202 
 2023-07-11      2023-12-31       172.10     234.60823      45.66586      49.56217     -41.30202 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max
2020-01-01    41.23  51.59    41.20  51.57   178.72 189.08    40.66  51.02    46.25  56.61    39.98  50.34
2020-01-02    42.12  52.47    42.09  52.44   179.61 189.95    41.55  51.90    47.14  57.48    40.87  51.21
2020-01-03    43.01  53.34    42.98  53.31   180.49 190.82    42.44  52.77    48.02  58.35    41.76  52.09
2020-01-04    43.89  54.21    43.86  54.18   181.38 191.69    43.32  53.64    48.91  59.22    42.64  52.95
2020-01-05    44.77  55.07    44.75  55.05   182.26 192.56    44.20  54.50    49.79  60.09    43.52  53.82
2020-01-06    45.65  55.94    45.62  55.91   183.14 193.42    45.08  55.37    50.67  60.95    44.40  54.69
2020-01-07    46.53  56.80    46.50  56.77   184.02 194.29    45.96  56.23    51.54  61.82    45.28  55.55
2020-01-08    47.40  57.66    47.38  57.64   184.89 195.15    46.83  57.09    52.42  62.68    46.15  56.41
2020-01-09    48.27  58.52    48.25  58.50   185.76 196.01    47.70  57.95    53.29  63.54    47.02  57.27
2020-01-10    49.14  59.38    49.12  59.36   186.63 196.87    48.57  58.81    54.16  64.40    47.89  58.13
2020-01-11    50.01  60.24    49.98  60.22   187.50 197.73    49.44  59.67    55.03  65.26    48.76  58.99
2020-01-12    50.88  61.10    50.85  61.08   188.36 198.59    50.31  60.53    55.89  66.12    49.63  59.85
2020-01-13    51.74  61.96    51.72  61.93   189.23 199.45    51.17  61.39    56.76  66.98    50.49  60.71
2020-01-14    52.61  62.82    52.58  62.79   190.09 200.31    52.04  62.25    57.62  67.83    51.35  61.57
2020-01-15    53.47  63.68    53.44  63.65   190.95 201.16    52.90  63.11    58.48  68.69    52.22  62.42
2020-01-16    54.33  64.53    54.30  64.51   191.81 202.02    53.76  63.96    59.34  69.55    53.08  63.28
2020-01-17    55.19  65.39    55.16  65.36   192.67 202.88    54.62  64.82    60.20  70.40    53.94  64.14
2020-01-18    56.05  66.25    56.02  66.22   193.53 203.73    55.48  65.68    61.06  71.26    54.80  65.00
2020-01-19    56.90  67.10    56.88  67.08   194.39 204.59    56.33  66.53    61.92  72.12    55.65  65.85
2020-01-20    57.76  67.96    57.73  67.94   195.25 205.45    57.19  67.39    62.78  72.98    56.51  66.71
2020-01-21    58.62  68.82    58.59  68.79   196.11 206.31    58.05  68.25    63.63  73.84    57.37  67.57
2020-01-22    59.48  69.68    59.45  69.65   196.96 207.17    58.91  69.11    64.49  74.69    58.22  68.43
2020-01-23    60.33  70.54    60.31  70.51   197.82 208.03    59.76  69.97    65.35  75.55    59.08  69.29
2020-01-24    61.39  71.20    61.36  71.17   198.88 208.69    60.82  70.63    66.40  76.21    60.14  69.95
2020-01-25    62.60  71.70    62.58  71.68   200.09 209.19    62.03  71.13    67.62  76.72    61.35  70.45
2020-01-26    63.82  72.21    63.79  72.18   201.30 209.70    63.25  71.64    68.83  77.23    62.57  70.96
2020-01-27    65.03  72.72    65.00  72.69   202.52 210.21    64.46  72.15    70.05  77.74    63.78  71.47
2020-01-28    66.24  73.23    66.22  73.20   203.73 210.72    65.67  72.66    71.26  78.25    64.99  71.98

2020-07-12   231.49 238.85   231.46 238.83     8.97  16.34   230.92 238.28   236.50 243.87   230.24 237.60
2020-07-13   231.96 239.99   231.94 239.97     9.45  17.48   231.39 239.42   236.98 245.01   230.71 238.74
2020-07-14   232.44 241.13   232.41 241.10     9.93  18.62   231.87 240.56   237.45 246.15   231.19 239.88
2020-07-15   232.91 242.27   232.89 242.24    10.40  19.76   232.34 241.70   237.93 247.28   231.66 241.02
2020-07-16   233.38 243.41   233.36 243.38    10.87  20.89   232.81 242.84   238.40 248.42   232.13 242.16
2020-07-17   234.10 244.30   234.07 244.28    11.58  21.79   233.53 243.73   239.11 249.32   232.85 243.05
2020-07-18   234.90 245.11   234.88 245.08    12.39  22.59   234.33 244.54   239.92 250.12   233.65 243.85
2020-07-19   235.71 245.91   235.68 245.88    13.19  23.40   235.14 245.34   240.72 250.92   234.46 244.66
2020-07-20   236.51 246.71   236.48 246.68    14.00  24.20   235.94 246.14   241.52 251.73   235.26 245.46
2020-07-21   237.31 247.51   237.29 247.49    14.80  25.00   236.74 246.94   242.33 252.53   236.06 246.26
2020-07-22   238.12 248.32   238.09 248.29    15.60  25.80   237.55 247.75   243.13 253.33   236.86 247.07
2020-07-23   238.92 249.12   238.89 249.09    16.41  26.61   238.35 248.55   243.93 254.14   237.67 247.87
2020-07-24   239.72 249.92   239.69 249.90    17.21  27.41   239.15 249.35   244.74 254.94   238.47 248.67
2020-07-25   240.52 250.73   240.50 250.70    18.01  28.22   239.95 250.16   245.54 255.75   239.27 249.48
2020-07-26   241.32 251.54   241.30 251.51    18.81  29.02   240.75 250.97   246.34 256.55   240.07 250.29
2020-07-27   242.13 252.34   242.10 252.32    19.61  29.83   241.56 251.77   247.14 257.36   240.88 251.09
2020-07-28   242.93 253.15   242.90 253.13    20.42  30.64   242.36 252.58   247.95 258.17   241.68 251.90
2020-07-29   243.73 253.96   243.71 253.94    21.22  31.45   243.16 253.39   248.75 258.98   242.48 252.71
2020-07-30   244.54 254.77   244.51 254.75    22.03  32.26   243.97 254.20   249.55 259.79   243.29 253.52
