
       Target
                ecliptic
RA      Dec     latitude
168.293 -17.658 -20.806

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-01-01      2020-02-05        35.90     299.39425     317.58344     168.29291     -17.65778 
 2020-04-27      2020-06-23        57.00      92.63867     116.64774     168.29291     -17.65778 
 2020-12-13      2021-02-04        53.00     292.98116     317.39909     168.29291     -17.65778 
 2021-04-27      2021-06-23        56.97      92.45300     116.55678     168.29291     -17.65778 
 2021-12-13      2022-02-04        53.00     292.91476     317.20650     168.29291     -17.65778 
 2022-04-28      2022-06-23        56.08      92.90079     116.50223     168.29291     -17.65778 
 2022-12-13      2023-02-04        53.00     292.85128     317.01023     168.29291     -17.65778 
 2023-04-28      2023-06-24        57.00      92.69310     116.73850     168.29291     -17.65778 
 2023-12-13      2023-12-31        17.10     292.78959     299.11571     168.29291     -17.65778 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max
2020-01-01   294.18 304.61   294.15 304.58    71.66  82.10   293.61 304.04   299.19 309.63   292.93 303.36
2020-01-02   294.54 305.02   294.52 304.99    72.03  82.50   293.97 304.45   299.56 310.03   293.29 303.77
2020-01-03   294.91 305.43   294.88 305.40    72.40  82.91   294.34 304.86   299.93 310.44   293.66 304.18
2020-01-04   295.28 305.84   295.25 305.82    72.77  83.33   294.71 305.27   300.30 310.86   294.03 304.59
2020-01-05   295.65 306.26   295.62 306.24    73.14  83.75   295.08 305.69   300.67 311.28   294.40 305.01
2020-01-06   296.02 306.69   296.00 306.66    73.51  84.18   295.45 306.12   301.04 311.70   294.77 305.44
2020-01-07   296.40 307.12   296.37 307.09    73.89  84.61   295.83 306.55   301.42 312.13   295.15 305.87
2020-01-08   296.78 307.56   296.75 307.53    74.27  85.04   296.21 306.99   301.79 312.57   295.53 306.31
2020-01-09   297.16 308.00   297.13 307.97    74.65  85.49   296.59 307.43   302.17 313.02   295.91 306.75
2020-01-10   297.54 308.45   297.52 308.43    75.03  85.94   296.97 307.88   302.56 313.47   296.29 307.20
2020-01-11   297.93 308.91   297.90 308.88    75.42  86.40   297.36 308.34   302.94 313.92   296.68 307.66
2020-01-12   298.32 309.37   298.29 309.35    75.81  86.86   297.75 308.80   303.34 314.39   297.07 308.12
2020-01-13   298.71 309.85   298.69 309.82    76.20  87.34   298.14 309.28   303.73 314.86   297.46 308.60
2020-01-14   299.11 310.33   299.09 310.30    76.60  87.82   298.54 309.76   304.13 315.34   297.86 309.08
2020-01-15   299.52 310.82   299.49 310.79    77.00  88.31   298.95 310.25   304.53 315.83   298.27 309.57
2020-01-16   299.92 311.32   299.90 311.29    77.41  88.81   299.35 310.75   304.94 316.33   298.67 310.07
2020-01-17   300.34 311.83   300.31 311.80    77.82  89.31   299.77 311.26   305.35 316.84   299.09 310.58
2020-01-18   300.75 312.35   300.73 312.32    78.24  89.83   300.18 311.78   305.77 317.36   299.50 311.09
2020-01-19   301.18 312.87   301.15 312.85    78.67  90.36   300.61 312.30   306.19 317.89   299.93 311.62
2020-01-20   301.61 313.42   301.58 313.39    79.10  90.90   301.04 312.85   306.62 318.43   300.36 312.16
2020-01-21   302.04 313.97   302.02 313.94    79.53  91.45   301.47 313.40   307.06 318.98   300.79 312.72
2020-01-22   302.49 314.53   302.46 314.50    79.97  92.02   301.92 313.96   307.50 319.55   301.24 313.28
2020-01-23   302.94 315.11   302.91 315.08    80.43  92.60   302.37 314.54   307.95 320.12   301.69 313.86
2020-01-24   303.40 315.70   303.37 315.67    80.88  93.19   302.83 315.13   308.41 320.71   302.15 314.45
2020-01-25   303.86 316.30   303.84 316.28    81.35  93.79   303.29 315.73   308.88 321.32   302.61 315.05
2020-01-26   304.34 316.92   304.31 316.90    81.83  94.41   303.77 316.35   309.35 321.94   303.09 315.67
2020-01-27   304.82 317.56   304.80 317.53    82.31  95.05   304.25 316.99   309.84 322.57   303.57 316.31
2020-01-28   305.32 318.21   305.29 318.18    82.81  95.70   304.75 317.64   310.34 323.23   304.07 316.96
2020-01-29   305.83 318.88   305.80 318.85    83.31  96.37   305.26 318.31   310.84 323.89   304.57 317.63
2020-01-30   306.34 319.57   306.32 319.54    83.83  97.05   305.77 319.00   311.36 324.58   305.09 318.32
2020-01-31   306.87 320.27   306.85 320.25    84.36  97.76   306.30 319.70   311.89 325.29   305.62 319.02
2020-02-01   307.41 321.00   307.39 320.97    84.90  98.49   306.84 320.43   312.43 326.01   306.16 319.75
2020-02-02   307.97 321.75   307.94 321.72    85.46  99.23   307.40 321.18   312.98 326.76   306.72 320.50
2020-02-03   308.54 322.52   308.51 322.49    86.02 100.00   307.97 321.95   313.55 327.53   307.29 321.27
2020-02-04   309.12 323.31   309.10 323.28    86.61 100.80   308.55 322.74   314.14 328.33   307.87 322.06
2020-02-05   309.72 324.13   309.70 324.10    87.21 101.62   309.15 323.56   314.74 329.15   308.47 322.88

2020-04-28    85.52  99.89    85.50  99.86   223.01 237.38    84.95  99.32    90.54 104.90    84.27  98.64
2020-04-29    86.29 100.45    86.26 100.42   223.78 237.94    85.72  99.88    91.30 105.47    85.04  99.20
2020-04-30    87.03 101.00    87.00 100.97   224.52 238.48    86.46 100.43    92.05 106.01    85.78  99.75
2020-05-01    87.75 101.53    87.73 101.50   225.24 239.02    87.18 100.96    92.77 106.54    86.50 100.28
2020-05-02    88.45 102.05    88.43 102.02   225.94 239.54    87.88 101.48    93.47 107.06    87.20 100.80
2020-05-03    89.13 102.56    89.11 102.53   226.62 240.04    88.56 101.99    94.15 107.57    87.88 101.30
2020-05-04    89.80 103.05    89.77 103.02   227.28 240.54    89.23 102.48    94.81 108.07    88.55 101.80
2020-05-05    90.44 103.53    90.42 103.51   227.93 241.02    89.87 102.96    95.46 108.55    89.19 102.28
2020-05-06    91.07 104.01    91.04 103.98   228.56 241.50    90.50 103.44    96.09 109.02    89.82 102.76
2020-05-07    91.68 104.47    91.66 104.44   229.17 241.96    91.11 103.90    96.70 109.49    90.43 103.22
2020-05-08    92.28 104.93    92.25 104.90   229.77 242.41    91.71 104.36    97.30 109.94    91.03 103.67
2020-05-09    92.86 105.37    92.84 105.34   230.35 242.86    92.29 104.80    97.88 110.39    91.61 104.12
2020-05-10    93.43 105.81    93.40 105.78   230.92 243.30    92.86 105.24    98.45 110.82    92.18 104.56
2020-05-11    93.99 106.24    93.96 106.21   231.47 243.72    93.42 105.67    99.00 111.25    92.74 104.99
2020-05-12    94.53 106.66    94.50 106.63   232.02 244.15    93.96 106.09    99.55 111.67    93.28 105.41
