
       Target
                ecliptic
RA      Dec     latitude
-19.542 214.060 -38.614

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-01-01      2020-02-21        51.90     126.19661     171.92720     -19.54231     214.05958 
 2020-04-12      2020-06-25        74.01     246.12263     302.74729     -19.54231     214.05958 
 2020-12-13      2021-02-20        69.01     115.01664     171.60268     -19.54231     214.05958 
 2021-04-13      2021-06-26        74.00     246.95868     303.20532     -19.54231     214.05958 
 2021-12-13      2022-02-21        70.00     114.88344     172.51035     -19.54231     214.05958 
 2022-04-13      2022-06-26        74.00     246.59546     303.07535     -19.54231     214.05958 
 2022-12-13      2023-02-21        70.00     114.75645     172.15301     -19.54231     214.05958 
 2023-04-13      2023-06-26        74.00     246.22389     302.94797     -19.54231     214.05958 
 2023-12-13      2023-12-31        17.10     114.63504     125.68553     -19.54231     214.05958 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max
2020-01-01   121.03 131.36   121.00 131.34   258.52 268.85   120.46 130.79   126.05 136.38   119.78 130.11
2020-01-02   121.68 132.04   121.65 132.01   259.17 269.52   121.11 131.47   126.69 137.05   120.43 130.79
2020-01-03   122.33 132.72   122.31 132.69   259.82 270.20   121.76 132.15   127.35 137.73   121.08 131.46
2020-01-04   122.99 133.40   122.96 133.37   260.47 270.89   122.42 132.83   128.00 138.41   121.74 132.15
2020-01-05   123.64 134.09   123.62 134.06   261.13 271.57   123.07 133.52   128.66 139.10   122.39 132.84
2020-01-06   124.30 134.78   124.28 134.75   261.79 272.27   123.73 134.21   129.32 139.80   123.05 133.53
2020-01-07   124.97 135.48   124.94 135.45   262.46 272.97   124.40 134.91   129.98 140.49   123.72 134.23
2020-01-08   125.64 136.18   125.61 136.16   263.12 273.67   125.07 135.61   130.65 141.20   124.38 134.93
2020-01-09   126.31 136.89   126.28 136.87   263.79 274.38   125.74 136.32   131.32 141.91   125.06 135.64
2020-01-10   126.98 137.61   126.96 137.58   264.47 275.10   126.41 137.04   132.00 142.63   125.73 136.36
2020-01-11   127.66 138.33   127.63 138.31   265.15 275.82   127.09 137.76   132.68 143.35   126.41 137.08
2020-01-12   128.35 139.06   128.32 139.04   265.83 276.55   127.78 138.49   133.36 144.08   127.10 137.81
2020-01-13   129.04 139.80   129.01 139.78   266.52 277.29   128.47 139.23   134.05 144.82   127.78 138.55
2020-01-14   129.73 140.55   129.70 140.52   267.22 278.03   129.16 139.98   134.75 145.56   128.48 139.30
2020-01-15   130.43 141.30   130.40 141.27   267.92 278.79   129.86 140.73   135.45 146.31   129.18 140.05
2020-01-16   131.14 142.06   131.11 142.03   268.62 279.55   130.57 141.49   136.15 147.08   129.89 140.81
2020-01-17   131.85 142.83   131.82 142.80   269.34 280.32   131.28 142.26   136.86 147.85   130.60 141.58
2020-01-18   132.57 143.61   132.54 143.58   270.06 281.10   132.00 143.04   137.58 148.62   131.32 142.36
2020-01-19   133.29 144.40   133.27 144.37   270.78 281.88   132.72 143.83   138.31 149.41   132.04 143.15
2020-01-20   134.03 145.19   134.00 145.17   271.51 282.68   133.46 144.62   139.04 150.21   132.78 143.94
2020-01-21   134.77 146.00   134.74 145.97   272.25 283.49   134.20 145.43   139.78 151.02   133.52 144.75
2020-01-22   135.52 146.82   135.49 146.79   273.00 284.31   134.95 146.25   140.53 151.83   134.27 145.57
2020-01-23   136.27 147.65   136.25 147.62   273.76 285.13   135.70 147.08   141.29 152.66   135.02 146.40
2020-01-24   137.04 148.49   137.01 148.46   274.53 285.97   136.47 147.92   142.05 153.50   135.79 147.23
2020-01-25   137.81 149.34   137.79 149.31   275.30 286.82   137.24 148.77   142.83 154.35   136.56 148.08
2020-01-26   138.60 150.20   138.57 150.17   276.08 287.68   138.03 149.63   143.61 155.21   137.34 148.95
2020-01-27   139.39 151.07   139.36 151.04   276.88 288.56   138.82 150.50   144.40 156.09   138.14 149.82
2020-01-28   140.19 151.96   140.17 151.93   277.68 289.45   139.62 151.39   145.21 156.97   138.94 150.71
2020-01-29   141.01 152.86   140.98 152.83   278.49 290.34   140.44 152.29   146.02 157.87   139.76 151.61
2020-01-30   141.83 153.77   141.80 153.74   279.32 291.26   141.26 153.20   146.85 158.79   140.58 152.52
2020-01-31   142.67 154.70   142.64 154.67   280.15 292.18   142.10 154.13   147.68 159.71   141.42 153.45
2020-02-01   143.52 155.64   143.49 155.61   281.00 293.12   142.95 155.07   148.53 160.65   142.26 154.39
2020-02-02   144.38 156.59   144.35 156.57   281.86 294.08   143.81 156.02   149.39 161.61   143.12 155.34
2020-02-03   145.25 157.56   145.22 157.54   282.74 295.05   144.68 156.99   150.26 162.58   144.00 156.31
2020-02-04   146.13 158.55   146.11 158.52   283.62 296.03   145.56 157.98   151.15 163.56   144.88 157.30
2020-02-05   147.03 159.55   147.01 159.52   284.52 297.04   146.46 158.98   152.05 164.56   145.78 158.30
2020-02-06   147.95 160.57   147.92 160.54   285.43 298.05   147.38 160.00   152.96 165.58   146.70 159.31
2020-02-07   148.87 161.60   148.85 161.57   286.36 299.09   148.30 161.03   153.89 166.61   147.62 160.35
2020-02-08   149.82 162.65   149.79 162.62   287.30 300.14   149.25 162.08   154.83 167.66   148.57 161.40
2020-02-09   150.77 163.72   150.75 163.69   288.26 301.20   150.20 163.15   155.79 168.73   149.52 162.47
2020-02-10   151.75 164.80   151.72 164.78   289.24 302.29   151.18 164.23   156.76 169.82   150.50 163.55
2020-02-11   152.74 165.90   152.71 165.88   290.23 303.39   152.17 165.33   157.75 170.92   151.49 164.65
2020-02-12   153.74 167.03   153.72 167.00   291.23 304.51   153.17 166.46   158.76 172.04   152.49 165.78
2020-02-13   154.77 168.17   154.74 168.14   292.26 305.65   154.20 167.60   159.78 173.18   153.52 166.92
2020-02-14   155.81 169.32   155.78 169.30   293.30 306.81   155.24 168.75   160.82 174.34   154.56 168.07
2020-02-15   156.87 170.50   156.84 170.48   294.36 307.99   156.30 169.93   161.88 175.52   155.62 169.25
2020-02-16   157.95 171.70   157.92 171.67   295.43 309.19   157.38 171.13   162.96 176.71   156.69 170.45
2020-02-17   159.04 172.92   159.01 172.89   296.53 310.40   158.47 172.35   164.06 177.93   157.79 171.66
2020-02-18   160.16 174.15   160.13 174.13   297.64 311.64   159.59 173.58   165.17 179.17   158.91 172.90
2020-02-19   161.29 175.41   161.26 175.38   298.78 312.90   160.72 174.84   166.31 180.42   160.04 174.16
2020-02-20   162.44 176.68   162.42 176.66   299.93 314.17   161.87 176.11   167.46 181.70   161.19 175.43
2020-02-21   163.62 177.98   163.59 177.95   301.11 315.47   163.05 177.41   168.63 182.99   162.37 176.73

2020-04-13   239.03 253.45   239.01 253.43    16.52  30.94   238.46 252.88   244.05 258.47   237.78 252.20
2020-04-14   240.29 254.59   240.26 254.56    17.77  32.08   239.72 254.02   245.30 259.61   239.04 253.34
2020-04-15   241.52 255.71   241.49 255.68    19.01  33.19   240.95 255.14   246.53 260.72   240.27 254.46
2020-04-16   242.73 256.80   242.71 256.78    20.22  34.29   242.16 256.23   247.75 261.82   241.48 255.55
2020-04-17   243.93 257.88   243.90 257.85    21.41  35.37   243.36 257.31   248.94 262.90   242.68 256.63
2020-04-18   245.10 258.94   245.07 258.91    22.59  36.43   244.53 258.37   250.12 263.95   243.85 257.69
2020-04-19   246.26 259.98   246.23 259.95    23.74  37.47   245.69 259.41   251.27 264.99   245.00 258.73
2020-04-20   247.39 261.00   247.36 260.97    24.88  38.49   246.82 260.43   252.41 266.02   246.14 259.75
2020-04-21   248.51 262.00   248.48 261.98    26.00  39.49   247.94 261.43   253.52 267.02   247.26 260.75
2020-04-22   249.61 262.99   249.58 262.96    27.09  40.48   249.04 262.42   254.62 268.01   248.36 261.74
2020-04-23   250.69 263.96   250.66 263.93    28.17  41.45   250.12 263.39   255.70 268.98   249.44 262.71
2020-04-24   251.75 264.91   251.72 264.89    29.24  42.40   251.18 264.34   256.76 269.93   250.50 263.66
2020-04-25   252.79 265.85   252.77 265.82    30.28  43.34   252.22 265.28   257.81 270.87   251.54 264.60
2020-04-26   253.82 266.77   253.79 266.75    31.31  44.26   253.25 266.20   258.83 271.79   252.57 265.52
2020-04-27   254.83 267.68   254.80 267.65    32.32  45.17   254.26 267.11   259.84 272.69   253.58 266.43
2020-04-28   255.82 268.57   255.80 268.54    33.31  46.06   255.25 268.00   260.84 273.58   254.57 267.32
2020-04-29   256.80 269.45   256.77 269.42    34.29  46.93   256.23 268.88   261.82 274.46   255.55 268.20
2020-04-30   257.76 270.31   257.74 270.28    35.25  47.80   257.19 269.74   262.78 275.32   256.51 269.06
2020-05-01   258.71 271.16   258.68 271.13    36.20  48.65   258.14 270.59   263.72 276.17   257.46 269.91
2020-05-02   259.64 272.00   259.61 271.97    37.13  49.48   259.07 271.43   264.66 277.01   258.39 270.75
2020-05-03   260.56 272.82   260.53 272.79    38.04  50.31   259.99 272.25   265.57 277.84   259.31 271.57
2020-05-04   261.46 273.63   261.43 273.61    38.95  51.12   260.89 273.06   266.47 278.65   260.21 272.38
2020-05-05   262.35 274.43   262.32 274.41    39.84  51.92   261.78 273.86   267.36 279.45   261.10 273.18
2020-05-06   263.22 275.22   263.20 275.20    40.71  52.71   262.65 274.65   268.24 280.24   261.97 273.97
2020-05-07   264.09 276.00   264.06 275.97    41.57  53.49   263.52 275.43   269.10 281.02   262.84 274.75
2020-05-08   264.94 276.77   264.91 276.74    42.42  54.26   264.37 276.20   269.95 281.78   263.68 275.52
2020-05-09   265.77 277.53   265.75 277.50    43.26  55.01   265.20 276.96   270.79 282.54   264.52 276.27
2020-05-10   266.60 278.27   266.57 278.25    44.09  55.76   266.03 277.70   271.61 283.29   265.35 277.02
2020-05-11   267.41 279.01   267.39 278.99    44.90  56.50   266.84 278.44   272.43 284.03   266.16 277.76
2020-05-12   268.22 279.74   268.19 279.71    45.70  57.23   267.65 279.17   273.23 284.76   266.96 278.49
2020-05-13   269.01 280.46   268.98 280.44    46.50  57.95   268.44 279.89   274.02 285.48   267.76 279.21
2020-05-14   269.79 281.17   269.76 281.15    47.28  58.66   269.22 280.60   274.80 286.19   268.54 279.92
2020-05-15   270.56 281.88   270.53 281.85    48.05  59.37   269.99 281.31   275.58 286.89   269.31 280.63
2020-05-16   271.32 282.58   271.30 282.55    48.81  60.06   270.75 282.01   276.34 287.59   270.07 281.33
2020-05-17   272.08 283.27   272.05 283.24    49.56  60.75   271.51 282.70   277.09 288.28   270.82 282.01
