
       Target
                ecliptic
RA      Dec     latitude
131.107   1.860 -15.651

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-03-15      2020-05-09        54.91      89.60972     107.51004     131.10700       1.85989 
 2020-10-31      2020-12-22        52.00     284.43415     302.51736     131.10700       1.85989 
 2021-03-16      2021-05-09        54.00      89.96442     107.42585     131.10700       1.85989 
 2021-10-31      2021-12-22        52.00     284.35966     302.41547     131.10700       1.85989 
 2022-03-16      2022-05-09        54.00      89.82904     107.34244     131.10700       1.85989 
 2022-10-31      2022-12-22        52.00     284.28887     302.31656     131.10700       1.85989 
 2023-03-16      2023-05-09        54.03      89.68532     107.26417     131.10700       1.85989 
 2023-10-31      2023-12-22        52.00     284.22203     302.21832     131.10700       1.85989 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max

2020-03-16    82.40  96.84    82.37  96.81   219.88 234.33    81.83  96.27    87.41 101.85    81.15  95.59
2020-03-17    83.04  97.25    83.01  97.23   220.52 234.74    82.47  96.68    88.05 102.27    81.79  96.00
2020-03-18    83.66  97.65    83.63  97.63   221.14 235.14    83.09  97.08    88.67 102.67    82.41  96.40
2020-03-19    84.25  98.05    84.23  98.02   221.74 235.53    83.68  97.48    89.27 103.06    83.00  96.79
2020-03-20    84.83  98.43    84.81  98.40   222.32 235.91    84.26  97.86    89.85 103.44    83.58  97.18
2020-03-21    85.39  98.80    85.37  98.77   222.88 236.29    84.82  98.23    90.41 103.81    84.14  97.55
2020-03-22    85.94  99.16    85.91  99.14   223.43 236.65    85.37  98.59    90.95 104.18    84.69  97.91
2020-03-23    86.47  99.52    86.44  99.49   223.95 237.00    85.90  98.95    91.48 104.53    85.21  98.27
2020-03-24    86.98  99.86    86.95  99.84   224.46 237.35    86.41  99.29    91.99 104.88    85.73  98.61
2020-03-25    87.47 100.20    87.45 100.18   224.96 237.69    86.90  99.63    92.49 105.22    86.22  98.95
2020-03-26    87.96 100.54    87.93 100.51   225.45 238.02    87.39  99.97    92.97 105.55    86.71  99.29
2020-03-27    88.43 100.86    88.40 100.84   225.92 238.35    87.86 100.29    93.44 105.88    87.18  99.61
2020-03-28    88.89 101.18    88.86 101.16   226.37 238.67    88.32 100.61    93.90 106.20    87.64  99.93
2020-03-29    89.33 101.50    89.31 101.47   226.82 238.99    88.76 100.93    94.35 106.51    88.08 100.25
2020-03-30    89.77 101.81    89.74 101.78   227.25 239.30    89.20 101.24    94.78 106.82    88.52 100.56
2020-03-31    90.19 102.11    90.17 102.09   227.68 239.60    89.62 101.54    95.21 107.13    88.94 100.86
2020-04-01    90.61 102.41    90.58 102.39   228.09 239.90    90.04 101.84    95.62 107.43    89.35 101.16
2020-04-02    91.01 102.71    90.98 102.68   228.50 240.19    90.44 102.14    96.03 107.72    89.76 101.46
2020-04-03    91.41 103.00    91.38 102.97   228.89 240.49    90.84 102.43    96.42 108.01    90.15 101.75
2020-04-04    91.79 103.29    91.77 103.26   229.28 240.77    91.22 102.72    96.81 108.30    90.54 102.03
2020-04-05    92.17 103.57    92.14 103.54   229.66 241.06    91.60 103.00    97.19 108.58    90.92 102.32
2020-04-06    92.54 103.85    92.51 103.82   230.03 241.34    91.97 103.28    97.56 108.86    91.29 102.60
2020-04-07    92.90 104.13    92.88 104.10   230.39 241.61    92.33 103.56    97.92 109.14    91.65 102.88
2020-04-08    93.26 104.40    93.23 104.37   230.75 241.89    92.69 103.83    98.28 109.42    92.01 103.15
2020-04-09    93.61 104.67    93.58 104.65   231.10 242.16    93.04 104.10    98.62 109.69    92.36 103.42
2020-04-10    93.95 104.94    93.93 104.92   231.44 242.43    93.38 104.37    98.97 109.96    92.70 103.69
2020-04-11    94.29 105.21    94.26 105.18   231.78 242.70    93.72 104.64    99.30 110.22    93.04 103.96
2020-04-12    94.62 105.47    94.59 105.45   232.11 242.96    94.05 104.90    99.64 110.49    93.37 104.22
2020-04-13    94.95 105.74    94.92 105.71   232.43 243.22    94.38 105.17    99.96 110.75    93.69 104.49
2020-04-14    95.27 106.00    95.24 105.97   232.75 243.48    94.70 105.43   100.28 111.01    94.01 104.75
2020-04-15    95.58 106.26    95.55 106.23   233.07 243.74    95.01 105.69   100.60 111.27    94.33 105.01
2020-04-16    95.89 106.51    95.86 106.49   233.38 244.00    95.32 105.94   100.91 111.53    94.64 105.26
2020-04-17    96.20 106.77    96.17 106.75   233.68 244.26    95.63 106.20   101.21 111.79    94.94 105.52
2020-04-18    96.50 107.03    96.47 107.00   233.98 244.51    95.93 106.46   101.51 112.04    95.25 105.78
2020-04-19    96.79 107.28    96.77 107.26   234.28 244.77    96.22 106.71   101.81 112.30    95.54 106.03
2020-04-20    97.09 107.54    97.06 107.51   234.57 245.02    96.52 106.97   102.10 112.55    95.84 106.29
2020-04-21    97.38 107.79    97.35 107.76   234.86 245.28    96.81 107.22   102.39 112.80    96.13 106.54
2020-04-22    97.66 108.04    97.64 108.02   235.15 245.53    97.09 107.47   102.68 113.06    96.41 106.79
2020-04-23    97.95 108.29    97.92 108.27   235.43 245.78    97.38 107.72   102.96 113.31    96.69 107.04
2020-04-24    98.23 108.55    98.20 108.52   235.71 246.03    97.66 107.98   103.24 113.56    96.97 107.30
2020-04-25    98.50 108.80    98.48 108.77   235.99 246.29    97.93 108.23   103.52 113.81    97.25 107.55
2020-04-26    98.78 109.05    98.75 109.03   236.26 246.54    98.21 108.48   103.79 114.07    97.53 107.80
