
       Target
                ecliptic
RA      Dec     latitude
 39.898 -50.008 -60.099

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-01-01      2020-01-09         8.98      53.16099      61.18739      39.89767     -50.00819 
 2020-06-19      2021-01-09       204.00     223.63618      61.82570      39.89767     -50.00819 
 2021-06-19      2022-01-09       204.00     223.45779      61.63651      39.89767     -50.00819 
 2022-06-19      2023-01-09       203.96     223.32823      61.45395      39.89767     -50.00819 
 2023-06-20      2023-12-31       193.10     223.97075      52.41197      39.89767     -50.00819 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max
2020-01-01    48.06  58.26    48.03  58.23   185.55 195.75    47.49  57.69    53.08  63.28    46.81  57.01
2020-01-02    48.95  59.15    48.92  59.13   186.44 196.64    48.38  58.58    53.97  64.17    47.70  57.90
2020-01-03    49.84  60.04    49.81  60.02   187.33 197.53    49.27  59.47    54.86  65.06    48.59  58.79
2020-01-04    50.73  60.94    50.70  60.91   188.22 198.42    50.16  60.37    55.75  65.95    49.48  59.69
2020-01-05    51.73  61.73    51.70  61.70   189.21 199.21    51.16  61.16    56.74  66.74    50.48  60.48
2020-01-06    52.94  62.30    52.91  62.27   190.43 199.79    52.37  61.73    57.96  67.31    51.69  61.05
2020-01-07    54.16  62.87    54.13  62.85   191.64 200.36    53.59  62.30    59.17  67.89    52.90  61.62
2020-01-08    55.37  63.45    55.34  63.42   192.86 200.94    54.80  62.88    60.39  68.46    54.12  62.20
2020-01-09    56.59  64.03    56.56  64.00   194.07 201.51    56.02  63.46    61.60  69.04    55.34  62.78

2020-06-20   220.15 227.29   220.12 227.27   357.64   4.78   219.58 226.72   225.16 232.31   218.90 226.04
2020-06-21   220.69 228.43   220.67 228.40   358.18   5.91   220.12 227.86   225.71 233.44   219.44 227.18
2020-06-22   221.24 229.56   221.21 229.53   358.72   7.05   220.67 228.99   226.25 234.57   219.98 228.31
2020-06-23   221.78 230.69   221.75 230.67   359.26   8.18   221.21 230.12   226.79 235.71   220.53 229.44
2020-06-24   222.32 231.83   222.29 231.80   359.80   9.31   221.75 231.26   227.33 236.84   221.07 230.58
2020-06-25   222.85 232.96   222.83 232.93     0.34  10.45   222.28 232.39   227.87 237.98   221.60 231.71
2020-06-26   223.64 233.85   223.61 233.82     1.13  11.33   223.07 233.28   228.65 238.86   222.39 232.60
2020-06-27   224.48 234.68   224.45 234.65     1.96  12.17   223.91 234.11   229.49 239.70   223.23 233.43
2020-06-28   225.31 235.51   225.29 235.49     2.80  13.00   224.74 234.94   230.33 240.53   224.06 234.26
2020-06-29   226.15 236.35   226.12 236.32     3.63  13.84   225.58 235.78   231.16 241.36   224.90 235.10
2020-06-30   226.98 237.18   226.96 237.16     4.47  14.67   226.41 236.61   232.00 242.20   225.73 235.93
2020-07-01   227.82 238.02   227.79 237.99     5.30  15.50   227.25 237.45   232.83 243.03   226.57 236.77
2020-07-02   228.65 238.85   228.63 238.83     6.14  16.34   228.08 238.28   233.67 243.87   227.40 237.60
2020-07-03   229.49 239.69   229.46 239.66     6.97  17.18   228.92 239.12   234.50 244.70   228.24 238.44
2020-07-04   230.32 240.53   230.29 240.50     7.81  18.01   229.75 239.96   235.34 245.54   229.07 239.27
2020-07-05   231.16 241.36   231.13 241.34     8.64  18.85   230.59 240.79   236.17 246.38   229.90 240.11
2020-07-06   231.99 242.20   231.96 242.17     9.48  19.69   231.42 241.63   237.01 247.22   230.74 240.95
2020-07-07   232.83 243.04   232.80 243.01    10.31  20.53   232.26 242.47   237.84 248.06   231.57 241.79
2020-07-08   233.66 243.88   233.63 243.86    11.15  21.37   233.09 243.31   238.68 248.90   232.41 242.63
2020-07-09   234.50 244.72   234.47 244.70    11.99  22.21   233.93 244.15   239.51 249.74   233.25 243.47
2020-07-10   235.33 245.57   235.31 245.54    12.82  23.06   234.76 245.00   240.35 250.58   234.08 244.32
2020-07-11   236.17 246.41   236.15 246.39    13.66  23.90   235.60 245.84   241.19 251.43   234.92 245.16
2020-07-12   237.01 247.26   236.99 247.23    14.50  24.75   236.44 246.69   242.03 252.27   235.76 246.01
2020-07-13   237.85 248.11   237.83 248.08    15.34  25.60   237.28 247.54   242.87 253.12   236.60 246.86
2020-07-14   238.69 248.96   238.67 248.93    16.18  26.45   238.12 248.39   243.71 253.97   237.44 247.71
2020-07-15   239.54 249.81   239.51 249.78    17.02  27.30   238.97 249.24   244.55 254.83   238.28 248.56
2020-07-16   240.38 250.67   240.35 250.64    17.87  28.15   239.81 250.10   245.39 255.68   239.13 249.41
2020-07-17   241.22 251.52   241.20 251.50    18.71  29.01   240.65 250.95   246.24 256.54   239.97 250.27
2020-07-18   242.07 252.38   242.05 252.35    19.56  29.87   241.50 251.81   247.09 257.40   240.82 251.13
2020-07-19   242.92 253.24   242.89 253.22    20.41  30.73   242.35 252.67   247.94 258.26   241.67 251.99
2020-07-20   243.77 254.11   243.74 254.08    21.26  31.59   243.20 253.54   248.79 259.12   242.52 252.86
2020-07-21   244.62 254.97   244.60 254.95    22.11  32.46   244.05 254.40   249.64 259.99   243.37 253.72
2020-07-22   245.48 255.84   245.45 255.82    22.97  33.33   244.91 255.27   250.49 260.86   244.23 254.59
2020-07-23   246.33 256.71   246.31 256.69    23.82  34.20   245.76 256.14   251.35 261.73   245.08 255.46
2020-07-24   247.19 257.59   247.17 257.56    24.68  35.08   246.62 257.02   252.21 262.60   245.94 256.34
2020-07-25   248.05 258.47   248.03 258.44    25.54  35.95   247.48 257.90   253.07 263.48   246.80 257.22
2020-07-26   248.92 259.35   248.89 259.32    26.41  36.83   248.35 258.78   253.93 264.36   247.67 258.10
2020-07-27   249.78 260.23   249.76 260.20    27.27  37.72   249.21 259.66   254.80 265.25   248.53 258.98
2020-07-28   250.65 261.12   250.63 261.09    28.14  38.61   250.08 260.55   255.67 266.13   249.40 259.87
2020-07-29   251.53 262.01   251.50 261.98    29.01  39.50   250.96 261.44   256.54 267.02   250.27 260.76
2020-07-30   252.40 262.90   252.37 262.88    29.89  40.39   251.83 262.33   257.42 267.92   251.15 261.65
2020-07-31   253.28 263.80   253.25 263.77    30.77  41.29   252.71 263.23   258.29 268.82   252.03 262.55
2020-08-01   254.16 264.70   254.13 264.68    31.65  42.19   253.59 264.13   259.17 269.72   252.91 263.45
2020-08-02   255.04 265.61   255.02 265.58    32.53  43.10   254.47 265.04   260.06 270.62   253.79 264.36
2020-08-03   255.93 266.52   255.90 266.49    33.42  44.00   255.36 265.95   260.95 271.53   254.68 265.27
2020-08-04   256.82 267.43   256.80 267.40    34.31  44.92   256.25 266.86   261.84 272.44   255.57 266.18
2020-08-05   257.72 268.35   257.69 268.32    35.20  45.83   257.15 267.78   262.73 273.36   256.47 267.10
2020-08-06   258.61 269.27   258.59 269.24    36.10  46.75   258.04 268.70   263.63 274.28   257.36 268.02
2020-08-07   259.52 270.19   259.49 270.17    37.00  47.68   258.95 269.62   264.53 275.21   258.27 268.94
2020-08-08   260.42 271.12   260.40 271.10    37.91  48.61   259.85 270.55   265.44 276.14   259.17 269.87
2020-08-09   261.33 272.06   261.30 272.03    38.82  49.54   260.76 271.49   266.35 277.07   260.08 270.80
2020-08-10   262.24 272.99   262.22 272.97    39.73  50.48   261.67 272.42   267.26 278.01   260.99 271.74
2020-08-11   263.16 273.94   263.14 273.91    40.65  51.42   262.59 273.37   268.18 278.95   261.91 272.69
2020-08-12   264.08 274.88   264.06 274.86    41.57  52.37   263.51 274.31   269.10 279.90   262.83 273.63
2020-08-13   265.01 275.83   264.98 275.81    42.50  53.32   264.44 275.26   270.03 280.85   263.76 274.58
2020-08-14   265.94 276.79   265.91 276.76    43.43  54.28   265.37 276.22   270.96 281.81   264.69 275.54
2020-08-15   266.87 277.75   266.85 277.72    44.36  55.24   266.30 277.18   271.89 282.77   265.62 276.50
2020-08-16   267.81 278.72   267.79 278.69    45.30  56.20   267.24 278.15   272.83 283.73   266.56 277.47
2020-08-17   268.76 279.69   268.73 279.66    46.25  57.17   268.19 279.12   273.77 284.70   267.51 278.44
2020-08-18   269.71 280.66   269.68 280.64    47.19  58.15   269.14 280.09   274.72 285.68   268.46 279.41
2020-08-19   270.66 281.64   270.63 281.62    48.15  59.13   270.09 281.07   275.67 286.66   269.41 280.39
2020-08-20   271.62 282.63   271.59 282.60    49.10  60.11   271.05 282.06   276.63 287.64   270.37 281.38
2020-08-21   272.58 283.62   272.55 283.59    50.07  61.10   272.01 283.05   277.59 288.63   271.33 282.36
2020-08-22   273.55 284.61   273.52 284.58    51.03  62.10   272.98 284.04   278.56 289.63   272.30 283.36
2020-08-23   274.52 285.61   274.49 285.58    52.01  63.10   273.95 285.04   279.53 290.62   273.27 284.36
2020-08-24   275.50 286.61   275.47 286.59    52.98  64.10   274.93 286.04   280.51 291.63   274.25 285.36
2020-08-25   276.48 287.62   276.45 287.60    53.97  65.11   275.91 287.05   281.49 292.64   275.23 286.37
2020-08-26   277.46 288.64   277.44 288.61    54.95  66.12   276.89 288.07   282.48 293.65   276.21 287.39
2020-08-27   278.46 289.66   278.43 289.63    55.94  67.14   277.89 289.09   283.47 294.67   277.21 288.40
2020-08-28   279.45 290.68   279.43 290.65    56.94  68.17   278.88 290.11   284.47 295.69   278.20 289.43
2020-08-29   280.46 291.71   280.43 291.68    57.94  69.19   279.89 291.14   285.47 296.72   279.20 290.46
2020-08-30   281.46 292.74   281.44 292.71    58.95  70.23   280.89 292.17   286.48 297.76   280.21 291.49
2020-08-31   282.47 293.78   282.45 293.75    59.96  71.27   281.90 293.21   287.49 298.79   281.22 292.53
2020-09-01   283.49 294.82   283.46 294.79    60.98  72.31   282.92 294.25   288.51 299.84   282.24 293.57
2020-09-02   284.51 295.87   284.49 295.84    62.00  73.36   283.94 295.30   289.53 300.88   283.26 294.62
2020-09-03   285.54 296.92   285.51 296.89    63.03  74.41   284.97 296.35   290.56 301.93   284.29 295.67
2020-09-04   286.57 297.98   286.55 297.95    64.06  75.46   286.00 297.41   291.59 302.99   285.32 296.72
2020-09-05   287.61 299.04   287.58 299.01    65.10  76.52   287.04 298.47   292.62 304.05   286.36 297.79
2020-09-06   288.65 300.10   288.62 300.07    66.14  77.59   288.08 299.53   293.66 305.12   287.40 298.85
2020-09-07   289.70 301.17   289.67 301.14    67.18  78.66   289.13 300.60   294.71 306.19   288.44 299.92
2020-09-08   290.75 302.24   290.72 302.22    68.23  79.73   290.18 301.67   295.76 307.26   289.50 300.99
2020-09-09   291.80 303.32   291.78 303.29    69.29  80.81   291.23 302.75   296.82 308.34   290.55 302.07
2020-09-10   292.86 304.40   292.84 304.38    70.35  81.89   292.29 303.83   297.88 309.42   291.61 303.15
2020-09-11   293.93 305.49   293.90 305.46    71.41  82.98   293.36 304.92   298.94 310.50   292.68 304.24
2020-09-12   295.00 306.58   294.97 306.55    72.48  84.06   294.43 306.01   300.01 311.59   293.74 305.33
2020-09-13   296.07 307.67   296.04 307.64    73.56  85.16   295.50 307.10   301.08 312.68   294.82 306.42
2020-09-14   297.15 308.76   297.12 308.74    74.63  86.25   296.58 308.19   302.16 313.78   295.89 307.51
2020-09-15   298.23 309.86   298.20 309.84    75.71  87.35   297.66 309.29   303.24 314.88   296.98 308.61
